,group,variable,month,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ANCORAIMES,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2018-01-01,1,0,0,0,1,0,1
ANDAMARCA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2018-01-01,0,1,0,0,0,1,1
ARQUE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2018-01-01,3,1,0,0,3,1,4
AYATA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2018-01-01,1,0,0,0,1,0,1
BERMEJO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2018-01-01,1,1,0,0,1,1,2
BOYUIBE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2018-01-01,0,1,0,0,0,1,1
CABEZAS,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2018-01-01,0,2,0,0,0,2,2
CAMIRI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2018-01-01,1,2,0,0,1,2,3
CAPINOTA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2018-01-01,1,0,0,0,1,0,1
CARAPARI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2018-01-01,1,0,0,0,1,0,1
CARIPUYO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2018-01-01,1,0,0,0,1,0,1
CHIMORE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2018-01-01,2,3,0,0,2,3,5
CKOCHAS,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2018-01-01,27,12,0,0,27,12,39
CLIZA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2018-01-01,2,1,0,0,2,1,3
COCHABAMBA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2018-01-01,1,8,0,0,1,8,9
