,group,variable,month,DT 5TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 5TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 5TA. DOSIS DE 7 A 49 AÑOS FUERA,DT 5TA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHOCALLA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2018-01-01,0,4,0,0,0,4,4
AIQUILE,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2018-01-01,4,2,0,1,4,3,7
ALALAY,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2018-01-01,1,0,0,0,1,0,1
ANZALDO,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2018-01-01,0,0,1,1,1,1,2
APOLO,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2018-01-01,0,3,0,0,0,3,3
ARANI,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2018-01-01,0,4,0,0,0,4,4
ARBIETO,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2018-01-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2018-01-01,1,3,1,0,2,3,5
ATOCHA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2018-01-01,0,2,0,1,0,3,3
AYO AYO,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2018-01-01,1,2,0,0,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2018-01-01,0,0,0,1,0,1,1
AZURDUY,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2018-01-01,0,1,0,1,0,2,2
BATALLAS,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2018-01-01,0,0,1,1,1,1,2
BELEN DE ANDAMARCA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2018-01-01,0,1,0,0,0,1,1
BELLA FLOR,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2018-01-01,0,1,0,2,0,3,3
BERMEJO,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2018-01-01,0,1,0,0,0,1,1
