,group,variable,month,DT 2DA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 7 A 49 AÑOS FUERA,DT 2DA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2018-01-01,0,1,0,2,0,3,3
ACHACACHI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2018-01-01,0,6,1,3,1,9,10
ACHOCALLA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2018-01-01,0,13,0,0,0,13,13
AIQUILE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2018-01-01,2,2,0,4,2,6,8
ALALAY,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2018-01-01,0,0,3,3,3,3,6
ALTO BENI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2018-01-01,3,7,2,1,5,8,13
ANCORAIMES,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2018-01-01,0,9,0,2,0,11,11
ANDAMARCA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2018-01-01,1,2,1,0,2,2,4
ANZALDO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2018-01-01,1,0,4,2,5,2,7
APOLO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2018-01-01,0,6,0,2,0,8,8
ARAMPAMPA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2018-01-01,1,1,3,11,4,12,16
ARANI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2018-01-01,0,2,0,0,0,2,2
ARBIETO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2018-01-01,2,8,5,18,7,26,33
ARQUE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2018-01-01,0,7,2,2,2,9,11
ASCENCION DE GUARAYOS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2018-01-01,1,33,0,0,1,33,34
ATOCHA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2018-01-01,0,3,1,3,1,6,7
AUCAPATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2018-01-01,0,2,0,0,0,2,2
