,group,variable,month,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS FUERA,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,83,85,28,40,111,125,236
ACHOCALLA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,5,0,0,1,5,6
ANCORAIMES,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,0,0,0,1,0,1
ANDAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,3,3,5,4,8,12
APOLO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,8,11,8,11,19
ATOCHA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,6,18,6,18,24
BATALLAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,23,21,226,130,249,151,400
BAURES,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,16,10,16,10,26
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,4,5,3,8,7,13,20
BELLA FLOR,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,0,2,1,3,1,4
BOYUIBE,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,1,5,22,6,23,29
CABEZAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,11,4,12,15,23,19,42
"CAIZA ""D""",otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,6,9,21,27,27,36,63
CAJUATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,2,3,8,4,10,7,17
CAMIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,23,30,41,62,64,92,156
CARACOLLO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,16,29,15,14,31,43,74
CARANAVI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,4,1,0,0,4,1,5
