municipality,group,variable,month,Numero de actividades realizadas con la comunidad,TOTAL
ANZALDO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,1,1
AZURDUY,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,5,5
BERMEJO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,2,2
BETANZOS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,10,10
BUENA VISTA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,1,1
CAPINOTA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,1,1
CARANAVI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,10,10
CARAPARI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,4,4
CHARAGUA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,5,5
COCHABAMBA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,1,1
EL PUENTE(TJA),control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,12,12
EL VILLAR,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,2,2
ENTRE RIOS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,3,3
GUANAY,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,4,4
GUAYARAMERIN,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,3,3
HUACAYA (VILLA DE HUACAYA),control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,2,2
ICLA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,1,1
MACHARETI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,4,4
MOJOCOYA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,6,6
MONTEAGUDO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,7,7
OKINAWA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,2,2
PADILLA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,9,9
POCONA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,1,1
