municipality,group,variable,month,Adultos(as) mayores de 60 años que reciben Complemento Nutricional,TOTAL
ACACIO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,494,494
ACHACACHI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,615,615
ACHOCALLA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,608,608
AIQUILE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,1340,1340
ALALAY,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,229,229
ALCALA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,160,160
ALTO BENI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,304,304
ANCORAIMES,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,366,366
ANDAMARCA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,330,330
ANTEQUERA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,60,60
ANZALDO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,549,549
APOLO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,105,105
ARAMPAMPA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,319,319
ARANI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,489,489
ARBIETO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,623,623
ARQUE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,285,285
ASCENCION DE GUARAYOS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,18,18
ATOCHA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,160,160
AUCAPATA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,85,85
AYATA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,136,136
AYO AYO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,262,262
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,1338,1338
AZURDUY,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,1,1
BATALLAS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,107,107
BAURES,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,62,62
BELEN DE ANDAMARCA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,157,157
BELEN DE URMIRI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,152,152
BELLA FLOR,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,5,5
BERMEJO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,397,397
BETANZOS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,1923,1923
BOLIVAR,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,304,304
BOYUIBE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,210,210
BUENA VISTA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2023-01-01,162,162
