municipality,group,variable,month,Interrupciones Legales del Embarazo por Riesgo de Salud de la Madre,Interrupciones Legales del Embarazo por Riesgo de Salud de la Madre1,Interrupciones Legales del Embarazo por Riesgo de Salud de la Madre2,Interrupciones Legales del Embarazo por Riesgo de Salud de la Madre3,Interrupciones Legales del Embarazo por Riesgo de Salud de la Madre4,TOTAL
EL TORNO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-03-01,0.0,0.0,1.0,0.0,0.0,1.0
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-03-01,0.0,0.0,1.0,0.0,0.0,1.0
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-04-01,0.0,0.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-04-01,0.0,0.0,0.0,1.0,0.0,1.0
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-05-01,0.0,0.0,7.0,3.0,0.0,10.0
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-05-01,0.0,0.0,4.0,2.0,0.0,6.0
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-06-01,0.0,1.0,0.0,1.0,0.0,2.0
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-06-01,0.0,0.0,2.0,0.0,0.0,2.0
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-06-01,0.0,0.0,1.0,0.0,0.0,1.0
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-07-01,0.0,0.0,1.0,0.0,0.0,1.0
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-07-01,0.0,0.0,8.0,0.0,0.0,8.0
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-07-01,0.0,1.0,0.0,0.0,0.0,1.0
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-07-01,0.0,0.0,1.0,0.0,0.0,1.0
EL TORNO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-08-01,0.0,0.0,1.0,0.0,0.0,1.0
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-08-01,0.0,0.0,7.0,17.0,0.0,24.0
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-08-01,0.0,0.0,1.0,0.0,0.0,1.0
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-09-01,0.0,0.0,5.0,0.0,0.0,5.0
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-10-01,0.0,0.0,0.0,1.0,0.0,1.0
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-10-01,0.0,0.0,1.0,0.0,0.0,1.0
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-11-01,1.0,1.0,18.0,3.0,0.0,23.0
COCHABAMBA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-12-01,0.0,0.0,0.0,1.0,0.0,1.0
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-12-01,0.0,1.0,5.0,0.0,0.0,6.0
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2021-12-01,0.0,0.0,11.0,0.0,0.0,11.0
