municipality,group,variable,month,Nacidos vivos con peso menor a 2500g,TOTAL
ACACIO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,1,1
AIQUILE,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,4,4
ASCENCION DE GUARAYOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,1,1
ATOCHA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,1,1
BERMEJO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,2,2
CAIROMA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,2,2
CAJUATA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,1,1
CAMARGO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,1,1
CAMIRI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,2,2
CAPINOTA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,1,1
CARANAVI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,4,4
CHARAGUA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,1,1
CHAYANTA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,1,1
CHIMORE,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,1,1
COBIJA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,7,7
COCHABAMBA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,85,85
COLOMI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,1,1
COLQUECHACA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,1,1
COMARAPA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,3,3
CONCEPCION,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,31,31
COROICO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,2,2
COTAGAITA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,1,1
CUATRO CAÑADAS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,1,1
EL ALTO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,47,47
EL TORNO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,2,2
ENTRE RIOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,1,1
FILADELFIA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,1,1
GUANAY,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,2,2
GUAYARAMERIN,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,5,5
HUACARETA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,1,1
HUANUNI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,1,1
ICLA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,1,1
LA PAZ,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,110,110
LLALLAGUA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,2,2
MONTEAGUDO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,1,1
MONTERO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,10,10
OCURI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,5,5
ORURO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,36,36
POCOATA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,1,1
PORTACHUELO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,2,2
POTOSI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,16,16
PUERTO ACOSTA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,1,1
PUERTO VILLARROEL,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,2,2
PUNA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,2,2
PUNATA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,6,6
QUILLACOLLO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,5,5
RIBERALTA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,7,7
RURRENABAQUE,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2009-01-01,3,3
