municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
CAMARGO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,2,2
CAMIRI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,3,3
CARANAVI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,3,3
CHALLAPATA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,1,1
CHARAGUA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,2,2
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,11,11
CONCEPCION,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,1,1
CULPINA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,1,1
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,16,16
EL VILLAR,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,1,1
JESUS DE MACHACA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,1,1
LA PAZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,10,10
MAIRANA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,2,2
MONTERO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,1,1
ORURO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,7,7
POTOSI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,6,6
QUILLACOLLO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,2,2
RIBERALTA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,3,3
SACABA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,1,1
SAN LUCAS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,6,6
SUCRE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,7,7
TARIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,2,2
TARVITA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,1,1
TORO TORO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,2,2
TRINIDAD,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,3,3
TUPIZA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,2,2
UYUNI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,1,1
VILLAZON,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,1,1
YACUIBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,1,1
YANACACHI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-01-01,1,1
BETANZOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-02-01,2,2
CAMARGO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-02-01,1,1
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2009-02-01,17,17
