municipality,group,variable,month,Partos atendidos por proveedor calificado,TOTAL
ACACIO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1,1
ACHACACHI,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,26,26
ACHOCALLA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,8,8
AIQUILE,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,25,25
ALCALA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1,1
ALTO BENI,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1,1
ANDAMARCA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,2,2
ANTEQUERA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1,1
APOLO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,24,24
ARANI,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,3,3
ARBIETO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,3,3
ATOCHA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,13,13
AYATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,2,2
AYO AYO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,22,22
AZURDUY,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,2,2
BATALLAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1,1
BELLA FLOR,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1,1
BERMEJO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,50,50
BETANZOS,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,20,20
BOYUIBE,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,4,4
CABEZAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,21,21
CAIROMA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,2,2
"CAIZA ""D""",atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,6,6
CAJUATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,12,12
CALACOTO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1,1
CALAMARCA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,5,5
CAMARGO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,23,23
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,2,2
CAMIRI,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,53,53
CAPINOTA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,17,17
CARACOLLO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,12,12
CARANAVI,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,56,56
CHALLAPATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,33,33
CHAQUI,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,3,3
CHARAGUA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,32,32
CHAYANTA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,6,6
CHIMORE,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,31,31
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,17,17
CHUMA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,3,3
CKOCHAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,3,3
COBIJA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,113,113
COCAPATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,10,10
COCHABAMBA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1589,1589
COLCAPIRHUA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,59,59
"COLCHA ""K""",atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,2,2
COLLANA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,2,2
COLOMI,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,10,10
COLPA BELGICA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,3,3
COLQUECHACA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,18,18
COLQUENCHA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,4,4
COLQUIRI,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,7,7
COMANCHE,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1,1
CONCEPCION,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,29,29
COPACABANA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,8,8
CORIPATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,11,11
CORO CORO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1,1
COROICO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,22,22
COTAGAITA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,10,10
COTOCA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,73,73
CULPINA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,20,20
DESAGUADERO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,3,3
EL ALTO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1403,1403
EL PUENTE(STC),atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,4,4
EL PUENTE(TJA),atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,2,2
EL TORNO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,97,97
EL VILLAR,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,3,3
ENTRE RIOS TRJ,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,3,3
ENTRE RIOS CBBA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,42,42
ESCOMA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,3,3
GENERAL SAAVEDRA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,6,6
GUANAY,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,14,14
GUAQUI,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,3,3
GUAYARAMERIN,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,83,83
HUACARETA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1,1
HUANUNI,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,25,25
HUARINA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,2,2
HUAYLLAMARCA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1,1
ICLA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,4,4
INCAHUASI,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,4,4
INQUISIVI,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,4,4
IXIAMAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,8,8
JESUS DE MACHACA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,3,3
LA ASUNTA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,32,32
LA GUARDIA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,58,58
LA PAZ,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1441,1441
LAGUNILLAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1,1
LAJA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,4,4
LAS CARRERAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1,1
LICOMA PAMPA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,4,4
LLALLAGUA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,69,69
LLICA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1,1
LURIBAY,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,4,4
MACHACAMARCA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,2,2
MACHARETI,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,3,3
MAIRANA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,22,22
MAPIRI,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,10,10
MECAPACA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,2,2
MIZQUE,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,21,21
MOJOCOYA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,7,7
MONTEAGUDO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,31,31
MONTERO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,262,262
OCURI,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,2,2
OMEREQUE,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,3,3
ORURO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,609,609
PADCAYA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,3,3
PADILLA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,12,12
PAILON,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,5,5
PALCA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,5,5
PALOS BLANCOS,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,35,35
PAMPA AULLAGAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1,1
PAPEL PAMPA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1,1
PASORAPA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1,1
PATACAMAYA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,32,32
POCOATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,12,12
POCONA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,3,3
POJO (CBBA),atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,10,10
POOPO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1,1
PORCO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,3,3
POROMA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,3,3
PORONGO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,1,1
PORTACHUELO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,33,33
PORVENIR,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,3,3
POTOSI,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,493,493
PUCARANI,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,9,9
PUERTO CARABUCO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,4,4
PUERTO GONZALO MORENO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,8,8
PUERTO RICO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,11,11
PUERTO VILLARROEL,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,149,149
PUNA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,5,5
PUNATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,70,70
QUILLACOLLO,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,209,209
QUIME,atencion de partos en servicios,partos atendidos por proveedor calificado,2020-01-01,2,2
