municipality,group,variable,month,Partos atendidos por personal de salud calificado,TOTAL
ACHACACHI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,1,1
ALTO BENI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,3,3
ANCORAIMES,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,1,1
ANDAMARCA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,1,1
ANZALDO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,69,69
ATOCHA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,1,1
AUCAPATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,1,1
AYATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,1,1
AYO AYO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,1,1
AZURDUY,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,2,2
BATALLAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,6,6
BAURES,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,1,1
BERMEJO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,1,1
BETANZOS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,2,2
BOYUIBE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,1,1
BUENA VISTA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,19,19
"CAIZA ""D""",atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,1,1
CAJUATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,3,3
CAMIRI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,30,30
CARANAVI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,5,5
CARAPARI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,3,3
CARIPUYO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,4,4
CARMEN RIVERO TORREZ,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,5,5
CHAQUI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,1,1
CHARAGUA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,13,13
CHARAÑA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,1,1
CHAYANTA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,3,3
CLIZA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,34,34
COBIJA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,1,1
COCAPATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,2,2
COCHABAMBA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,38,38
"COLCHA ""K""",atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,2,2
COLOMI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,1,1
COLQUECHACA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,2,2
COMARAPA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,26,26
CORO CORO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,3,3
COTAGAITA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,4,4
CUATRO CAÑADAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,22,22
CUEVO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,5,5
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,1,1
EL ALTO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,12,12
EL CHORO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,2,2
EL PUENTE(TJA),atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,3,3
ENTRE RIOS TRJ,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,12,12
ENTRE RIOS CBBA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2020-01-01,3,3
