municipality,group,variable,month,Nacidos muertos,TOTAL
ACHACACHI,atencion de partos en servicios,nacidos muertos,2020-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos,2020-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos muertos,2020-01-01,1,1
BETANZOS,atencion de partos en servicios,nacidos muertos,2020-01-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos,2020-01-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos,2020-01-01,3,3
CHAQUI,atencion de partos en servicios,nacidos muertos,2020-01-01,1,1
CHIMORE,atencion de partos en servicios,nacidos muertos,2020-01-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos,2020-01-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2020-01-01,19,19
EL ALTO,atencion de partos en servicios,nacidos muertos,2020-01-01,26,26
EL PUENTE(TJA),atencion de partos en servicios,nacidos muertos,2020-01-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2020-01-01,12,12
ORURO,atencion de partos en servicios,nacidos muertos,2020-01-01,9,9
PALOS BLANCOS,atencion de partos en servicios,nacidos muertos,2020-01-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos,2020-01-01,6,6
PUCARANI,atencion de partos en servicios,nacidos muertos,2020-01-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2020-01-01,3,3
RIBERALTA,atencion de partos en servicios,nacidos muertos,2020-01-01,1,1
SACABA,atencion de partos en servicios,nacidos muertos,2020-01-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos,2020-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos,2020-01-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos,2020-01-01,3,3
SAN RAMON SCZ,atencion de partos en servicios,nacidos muertos,2020-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2020-01-01,37,37
SIPE SIPE,atencion de partos en servicios,nacidos muertos,2020-01-01,1,1
SORATA,atencion de partos en servicios,nacidos muertos,2020-01-01,1,1
SUCRE,atencion de partos en servicios,nacidos muertos,2020-01-01,7,7
TARACO,atencion de partos en servicios,nacidos muertos,2020-01-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos,2020-01-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos,2020-01-01,4,4
UYUNI,atencion de partos en servicios,nacidos muertos,2020-01-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos,2020-01-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2020-01-01,1,1
