municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,2,2
BETANZOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,2,2
CHAQUI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,1,1
CHIMORE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,13,13
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,10,10
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,75,75
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,6,6
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,3,3
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,1,1
SAN MATIAS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,21,21
SIPE SIPE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,1,1
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,6,6
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,1,1
YAPACANI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-01-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,2,2
CHARAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,9,9
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,13,13
EL TORNO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,2,2
HUANUNI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,5,5
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,2,2
LURIBAY,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,5,5
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,3,3
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,1,1
SAN MATIAS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,20,20
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,4,4
TAPACARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,3,3
TIQUIPAYA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,4,4
UYUNI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,1,1
VALLEGRANDE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-02-01,1,1
BERMEJO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-03-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-03-01,7,7
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-03-01,15,15
HUANUNI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-03-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-03-01,14,14
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-03-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-03-01,5,5
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-03-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-03-01,3,3
SAN BORJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-03-01,1,1
SAN BUENA VENTURA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-03-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-03-01,1,1
SAN JAVIER(BNI),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-03-01,1,1
SANTA ANA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-03-01,26,26
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-03-01,2,2
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-03-01,1,1
TIAHUANACU,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-03-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-03-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-03-01,1,1
ZUDAÑEZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-03-01,1,1
ACHACACHI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-04-01,1,1
CATACORA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-04-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-04-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-04-01,11,11
CULPINA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-04-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-04-01,12,12
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-04-01,2,2
HUANUNI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-04-01,2,2
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-04-01,13,13
MAGDALENA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-04-01,5,5
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-04-01,4,4
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-04-01,1,1
SACABA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-04-01,1,1
SACACA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-04-01,1,1
SAN BUENA VENTURA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-04-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2020-04-01,2,2
