municipality,group,variable,month,Nacidos vivos,TOTAL
ACACIO,atencion de partos en servicios,nacidos vivos,2020-01-01,1,1
ACHACACHI,atencion de partos en servicios,nacidos vivos,2020-01-01,26,26
ACHOCALLA,atencion de partos en servicios,nacidos vivos,2020-01-01,8,8
AIQUILE,atencion de partos en servicios,nacidos vivos,2020-01-01,26,26
ALCALA,atencion de partos en servicios,nacidos vivos,2020-01-01,1,1
ALTO BENI,atencion de partos en servicios,nacidos vivos,2020-01-01,4,4
ANCORAIMES,atencion de partos en servicios,nacidos vivos,2020-01-01,1,1
ANDAMARCA,atencion de partos en servicios,nacidos vivos,2020-01-01,3,3
ANTEQUERA,atencion de partos en servicios,nacidos vivos,2020-01-01,1,1
ANZALDO,atencion de partos en servicios,nacidos vivos,2020-01-01,3,3
APOLO,atencion de partos en servicios,nacidos vivos,2020-01-01,24,24
ARANI,atencion de partos en servicios,nacidos vivos,2020-01-01,3,3
ARBIETO,atencion de partos en servicios,nacidos vivos,2020-01-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos,2020-01-01,68,68
ATOCHA,atencion de partos en servicios,nacidos vivos,2020-01-01,14,14
AUCAPATA,atencion de partos en servicios,nacidos vivos,2020-01-01,1,1
AYATA,atencion de partos en servicios,nacidos vivos,2020-01-01,3,3
AYO AYO,atencion de partos en servicios,nacidos vivos,2020-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos vivos,2020-01-01,21,21
AZURDUY,atencion de partos en servicios,nacidos vivos,2020-01-01,4,4
BATALLAS,atencion de partos en servicios,nacidos vivos,2020-01-01,7,7
BAURES,atencion de partos en servicios,nacidos vivos,2020-01-01,1,1
BELLA FLOR,atencion de partos en servicios,nacidos vivos,2020-01-01,1,1
BERMEJO,atencion de partos en servicios,nacidos vivos,2020-01-01,51,51
BETANZOS,atencion de partos en servicios,nacidos vivos,2020-01-01,21,21
BOYUIBE,atencion de partos en servicios,nacidos vivos,2020-01-01,5,5
BUENA VISTA,atencion de partos en servicios,nacidos vivos,2020-01-01,19,19
CABEZAS,atencion de partos en servicios,nacidos vivos,2020-01-01,21,21
CAIROMA,atencion de partos en servicios,nacidos vivos,2020-01-01,2,2
"CAIZA ""D""",atencion de partos en servicios,nacidos vivos,2020-01-01,7,7
CAJUATA,atencion de partos en servicios,nacidos vivos,2020-01-01,15,15
CALACOTO,atencion de partos en servicios,nacidos vivos,2020-01-01,1,1
CALAMARCA,atencion de partos en servicios,nacidos vivos,2020-01-01,5,5
CAMARGO,atencion de partos en servicios,nacidos vivos,2020-01-01,22,22
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,nacidos vivos,2020-01-01,2,2
CAMIRI,atencion de partos en servicios,nacidos vivos,2020-01-01,80,80
CAPINOTA,atencion de partos en servicios,nacidos vivos,2020-01-01,17,17
CARACOLLO,atencion de partos en servicios,nacidos vivos,2020-01-01,12,12
CARANAVI,atencion de partos en servicios,nacidos vivos,2020-01-01,61,61
CARAPARI,atencion de partos en servicios,nacidos vivos,2020-01-01,3,3
CARIPUYO,atencion de partos en servicios,nacidos vivos,2020-01-01,4,4
CARMEN RIVERO TORREZ,atencion de partos en servicios,nacidos vivos,2020-01-01,5,5
CHALLAPATA,atencion de partos en servicios,nacidos vivos,2020-01-01,34,34
CHAQUI,atencion de partos en servicios,nacidos vivos,2020-01-01,3,3
CHARAGUA,atencion de partos en servicios,nacidos vivos,2020-01-01,45,45
CHARAÑA,atencion de partos en servicios,nacidos vivos,2020-01-01,1,1
CHAYANTA,atencion de partos en servicios,nacidos vivos,2020-01-01,7,7
CHIMORE,atencion de partos en servicios,nacidos vivos,2020-01-01,30,30
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos vivos,2020-01-01,17,17
CHUMA,atencion de partos en servicios,nacidos vivos,2020-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,nacidos vivos,2020-01-01,3,3
CKOCHAS,atencion de partos en servicios,nacidos vivos,2020-01-01,3,3
CLIZA,atencion de partos en servicios,nacidos vivos,2020-01-01,34,34
COBIJA,atencion de partos en servicios,nacidos vivos,2020-01-01,114,114
COCAPATA,atencion de partos en servicios,nacidos vivos,2020-01-01,12,12
COCHABAMBA,atencion de partos en servicios,nacidos vivos,2020-01-01,1628,1628
COLCAPIRHUA,atencion de partos en servicios,nacidos vivos,2020-01-01,59,59
"COLCHA ""K""",atencion de partos en servicios,nacidos vivos,2020-01-01,4,4
COLLANA,atencion de partos en servicios,nacidos vivos,2020-01-01,2,2
COLOMI,atencion de partos en servicios,nacidos vivos,2020-01-01,11,11
