municipality,group,variable,month,Nacidos vivos con peso menor a 2500g,TOTAL
ARANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
BAURES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
BERMEJO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
BETANZOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
CAIROMA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
CAJUATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2020-01-01,2,2
CAMIRI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2020-01-01,5,5
CAPINOTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
CARANAVI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2020-01-01,3,3
CHARAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2020-01-01,2,2
CLIZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
COBIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2020-01-01,15,15
COCHABAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2020-01-01,105,105
COROICO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
CUATRO CAÑADAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
CULPINA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
EL ALTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2020-01-01,112,112
EL PUENTE(TJA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
EL TORNO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2020-01-01,1,1
