,group,variable,month,ANTIAMARILICA DOSIS UNICA DENTRO,ANTIAMARILICA DOSIS UNICA DENTRO,ANTIAMARILICA DOSIS UNICA FUERA,ANTIAMARILICA DOSIS UNICA FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
BAURES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,0,0,1,0,1
BERMEJO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,0,1,0,0,1
BUENA VISTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,1,0,0,0,1
CABEZAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,0,0,0,1,1
CARACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,0,1,0,0,1
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,5,7,0,0,12
CONCEPCION,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,1,0,0,0,1
COTOCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,0,2,0,0,2
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,10,10,6,6,32
ESMERALDA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,1,0,0,0,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,1,0,1,0,2
HUACARETA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,0,0,1,2,3
LA GUARDIA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,1,0,0,0,1
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,11,6,0,0,17
MAPIRI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,1,0,0,0,1
MINEROS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,1,0,0,0,1
MONTERO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,1,1,0,0,2
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,4,4,0,1,9
POTOSI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,0,1,0,0,1
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,11,20,0,0,31
QUILLACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,0,0,1,0,1
ROBORE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,0,2,0,0,2
SACABA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,0,1,0,2,3
SAN ANDRES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,1,0,0,0,1
SAN ANTONIO DE LOMERIO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,0,3,0,0,3
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,2,0,0,0,2
SAN LUCAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,0,0,1,0,1
SAN MATIAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,0,1,0,0,1
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,0,0,0,1,1
SAN RAMON BENI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,0,0,3,3,6
SANTA ANA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,21,22,3,4,50
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,1,0,0,0,1
SENA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,0,0,0,1,1
SIPE SIPE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,1,0,0,0,1
SUCRE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,23,24,0,0,47
TARIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,0,1,0,0,1
TRINIDAD,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2022-01-01,1,1,0,0,2
