,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,1,0,0,2
ACHACACHI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,2,0,0,0,2
ALTO BENI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,2,0,0,0,2
APOLO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
ARANI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,0,0,0,1
ARBIETO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,0,0,0,1
ARQUE,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
AYATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,0,1,0,1
AZURDUY,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,1,0,2
BATALLAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,1,0,0,2
BAURES,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,0,0,1,1
BETANZOS,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,2,3,1,0,6
BOYUIBE,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
CABEZAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,3,5,3,16,27
CAIROMA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,0,0,0,1
CAJUATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,3,0,0,3
CAMIRI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,1,0,0,2
CAPINOTA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,1,0,0,2
CAQUIAVIRI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
CARACOLLO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,0,0,0,1
CARANAVI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,3,3,0,0,6
CHALLAPATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,1,1,3
CHAYANTA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
CHIMORE,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,7,1,1,9
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
CHUMA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,0,1,1,2
CKOCHAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,1,1,0,3
CLIZA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,1,0,0,2
COBIJA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,2,4,0,1,7
COCHABAMBA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,59,52,1,1,113
COLCAPIRHUA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,2,4,3,8,17
"COLCHA ""K""",vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,2,0,0,0,2
COLPA BELGICA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,0,0,2,2
COLQUENCHA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,3,1,0,0,4
COLQUIRI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
COMARAPA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,2,2,0,0,4
CONCEPCION,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,2,8,4,3,17
COPACABANA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,0,0,0,1
CORIPATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,2,0,0,0,2
COROICO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,4,0,1,5
COTAGAITA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
