,group,variable,month,ANTIPOLIOMIELÍTICA 5TA. DOSIS DENTRO,ANTIPOLIOMIELÍTICA 5TA. DOSIS DENTRO,ANTIPOLIOMIELÍTICA 5TA. DOSIS FUERA,ANTIPOLIOMIELÍTICA 5TA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,1,1,0,2,4
ACHACACHI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,7,7,2,0,16
ACHOCALLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,8,10,0,1,19
AIQUILE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,4,4,3,4,15
ALALAY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,0,1,0,1,2
ALCALA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,3,1,0,0,4
ALTO BENI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,6,1,0,2,9
ANCORAIMES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,1,0,1,2,4
ANDAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,0,2,1,1,4
ANTEQUERA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,0,2,0,0,2
ANZALDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,1,0,2,1,4
APOLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,3,2,3,2,10
ARAMPAMPA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,0,0,0,1,1
ARANI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,2,2,0,0,4
ARBIETO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,7,5,0,1,13
ARQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,1,1,1,1,4
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,3,3,0,0,6
ATOCHA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,3,7,3,2,15
AUCAPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,1,2,0,0,3
AYATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,0,1,1,0,2
AYO AYO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,0,1,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,1,3,5,2,11
AZURDUY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,2,2,3,1,8
BATALLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,4,3,0,0,7
BAURES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,3,0,2,2,7
BELEN DE URMIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,1,0,0,1,2
BELLA FLOR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,0,1,0,1,2
BERMEJO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,15,8,1,0,24
BETANZOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,8,7,3,2,20
BOLPEBRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,0,0,1,0,1
BOYUIBE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,5,1,1,0,7
BUENA VISTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,11,4,1,0,16
CABEZAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,4,6,6,3,19
CAIROMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,5,0,0,2,7
"CAIZA ""D""",vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2022-01-01,3,1,0,0,4
