,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
BUENA VISTA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,2,0,0,0,2
CABEZAS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,0,1,0,1,2
CAJUATA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,0,1,0,0,1
CAMIRI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
CARACOLLO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,0,1,0,0,1
COCHABAMBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,4,15,1,0,20
CONCEPCION,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
COTAGAITA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
COTOCA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,0,1,0,0,1
EL ALTO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,9,7,4,6,26
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
ESMERALDA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,2,0,0,1,3
LA GUARDIA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
LA PAZ,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,6,4,0,0,10
MAPIRI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,2,0,0,0,2
MINEROS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
MONTERO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,1,1,0,0,2
ORURO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,4,4,0,2,10
PADCAYA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,0,1,0,0,1
PORONGO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
POTOSI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,1,5,0,0,6
PUERTO ACOSTA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,1,1,0,0,2
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
PUERTO SUAREZ,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,5,6,0,0,11
QUILLACOLLO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,0,0,1,0,1
ROBORE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,0,2,0,0,2
SACABA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,0,1,0,2,3
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,1,1,0,0,2
SAN ANDRES,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
SAN BORJA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,1,2,0,0,3
SAN IGNACIO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,0,0,0,1,1
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,2,0,0,0,2
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
SAN LORENZO(PND),vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,1,1,0,0,2
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,1,0,3,0,4
SANTA ANA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2022-01-01,23,24,0,0,47
