municipality,group,variable,month,Numero de actividades realizadas con la comunidad,TOTAL
ASCENCION DE GUARAYOS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,1,1
AZURDUY,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,3,3
BERMEJO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,1,1
BETANZOS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,5,5
BUENA VISTA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,2,2
CABEZAS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,8,8
CARAPARI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,7,7
CHARAGUA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,2,2
CHIMORE,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,3,3
COCHABAMBA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,1,1
CONCEPCION,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,1,1
COTOCA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,8,8
CUATRO CAÑADAS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,4,4
CUEVO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,1,1
EL PUENTE(STC),control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,1,1
EL PUENTE(TJA),control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,4,4
EL TORNO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,9,9
ENTRE RIOS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,8,8
FERNANDEZ ALONSO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,3,3
FILADELFIA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,3,3
GENERAL SAAVEDRA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,638,638
GUANAY,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,3,3
GUAYARAMERIN,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,2,2
GUTIERREZ,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,3,3
HUACARETA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2009-01-01,3,3
