municipality,group,variable,month,Total de casos confirmados,TOTAL
AYATA,malaria,total de casos confirmados,2009-01-01,3,3
AZURDUY,malaria,total de casos confirmados,2009-01-01,5,5
BAURES,malaria,total de casos confirmados,2009-01-01,10,10
BERMEJO,malaria,total de casos confirmados,2009-01-01,23,23
CABEZAS,malaria,total de casos confirmados,2009-01-01,2,2
CAMIRI,malaria,total de casos confirmados,2009-01-01,2,2
CARANAVI,malaria,total de casos confirmados,2009-01-01,9,9
CARAPARI,malaria,total de casos confirmados,2009-01-01,13,13
COBIJA,malaria,total de casos confirmados,2009-01-01,3,3
COROICO,malaria,total de casos confirmados,2009-01-01,3,3
COTOCA,malaria,total de casos confirmados,2009-01-01,1,1
EL TORNO,malaria,total de casos confirmados,2009-01-01,131,131
ENTRE RIOS,malaria,total de casos confirmados,2009-01-01,1,1
ENTRE RIOS,malaria,total de casos confirmados,2009-01-01,3,3
GRAL. J.J. PEREZ (CHARAZANI),malaria,total de casos confirmados,2009-01-01,7,7
GUAYARAMERIN,malaria,total de casos confirmados,2009-01-01,149,149
GUTIERREZ,malaria,total de casos confirmados,2009-01-01,1,1
HUACARETA,malaria,total de casos confirmados,2009-01-01,1,1
LA GUARDIA,malaria,total de casos confirmados,2009-01-01,12,12
LA PAZ,malaria,total de casos confirmados,2009-01-01,5,5
LAGUNILLAS,malaria,total de casos confirmados,2009-01-01,1,1
MAGDALENA,malaria,total de casos confirmados,2009-01-01,1,1
MONTEAGUDO,malaria,total de casos confirmados,2009-01-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de casos confirmados,2009-01-01,4,4
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2009-01-01,12,12
PADILLA,malaria,total de casos confirmados,2009-01-01,2,2
PAILON,malaria,total de casos confirmados,2009-01-01,1,1
PALOS BLANCOS,malaria,total de casos confirmados,2009-01-01,3,3
PORONGO,malaria,total de casos confirmados,2009-01-01,8,8
PORTACHUELO,malaria,total de casos confirmados,2009-01-01,1,1
PORVENIR,malaria,total de casos confirmados,2009-01-01,1,1
PUERTO RICO,malaria,total de casos confirmados,2009-01-01,2,2
PUERTO VILLARROEL,malaria,total de casos confirmados,2009-01-01,3,3
REYES,malaria,total de casos confirmados,2009-01-01,2,2
RIBERALTA,malaria,total de casos confirmados,2009-01-01,93,93
RURRENABAQUE,malaria,total de casos confirmados,2009-01-01,2,2
SACABA,malaria,total de casos confirmados,2009-01-01,1,1
SAIPINA,malaria,total de casos confirmados,2009-01-01,1,1
SAN BORJA,malaria,total de casos confirmados,2009-01-01,4,4
SAN CARLOS,malaria,total de casos confirmados,2009-01-01,7,7
SAN IGNACIO DE VELASCO,malaria,total de casos confirmados,2009-01-01,9,9
SAN PEDRO,malaria,total de casos confirmados,2009-01-01,1,1
SAN PEDRO DE BUENA VISTA,malaria,total de casos confirmados,2009-01-01,2,2
SANTA CRUZ DE LA SIERRA,malaria,total de casos confirmados,2009-01-01,2,2
SANTA ROSA,malaria,total de casos confirmados,2009-01-01,2,2
SENA,malaria,total de casos confirmados,2009-01-01,30,30
TEOPONTE,malaria,total de casos confirmados,2009-01-01,9,9
TORO TORO,malaria,total de casos confirmados,2009-01-01,6,6
VALLEGRANDE,malaria,total de casos confirmados,2009-01-01,1,1
VILLA MONTES,malaria,total de casos confirmados,2009-01-01,4,4
VILLA TUNARI,malaria,total de casos confirmados,2009-01-01,2,2
WARNES,malaria,total de casos confirmados,2009-01-01,1,1
YACUIBA,malaria,total de casos confirmados,2009-01-01,25,25
YAPACANI,malaria,total de casos confirmados,2009-01-01,11,11
ACACIO,malaria,total de casos confirmados,2009-02-01,1,1
AYATA,malaria,total de casos confirmados,2009-02-01,12,12
AZURDUY,malaria,total de casos confirmados,2009-02-01,1,1
BAURES,malaria,total de casos confirmados,2009-02-01,9,9
BERMEJO,malaria,total de casos confirmados,2009-02-01,4,4
BUENA VISTA,malaria,total de casos confirmados,2009-02-01,1,1
CARANAVI,malaria,total de casos confirmados,2009-02-01,10,10
CARAPARI,malaria,total de casos confirmados,2009-02-01,1,1
COBIJA,malaria,total de casos confirmados,2009-02-01,3,3
EL PUENTE(TJA),malaria,total de casos confirmados,2009-02-01,1,1
EL TORNO,malaria,total de casos confirmados,2009-02-01,35,35
ENTRE RIOS,malaria,total de casos confirmados,2009-02-01,2,2
ENTRE RIOS,malaria,total de casos confirmados,2009-02-01,3,3
EUREKA (SANTOS MERCADO),malaria,total de casos confirmados,2009-02-01,3,3
GRAL. J.J. PEREZ (CHARAZANI),malaria,total de casos confirmados,2009-02-01,19,19
GUANAY,malaria,total de casos confirmados,2009-02-01,9,9
GUAYARAMERIN,malaria,total de casos confirmados,2009-02-01,88,88
LA GUARDIA,malaria,total de casos confirmados,2009-02-01,5,5
LA PAZ,malaria,total de casos confirmados,2009-02-01,9,9
LAGUNILLAS,malaria,total de casos confirmados,2009-02-01,1,1
MONTERO,malaria,total de casos confirmados,2009-02-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de casos confirmados,2009-02-01,3,3
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2009-02-01,6,6
PADCAYA,malaria,total de casos confirmados,2009-02-01,5,5
PORONGO,malaria,total de casos confirmados,2009-02-01,14,14
PUERTO ACOSTA,malaria,total de casos confirmados,2009-02-01,3,3
PUERTO GONZALO MORENO,malaria,total de casos confirmados,2009-02-01,2,2
PUERTO RICO,malaria,total de casos confirmados,2009-02-01,8,8
PUERTO VILLARROEL,malaria,total de casos confirmados,2009-02-01,1,1
RIBERALTA,malaria,total de casos confirmados,2009-02-01,97,97
RURRENABAQUE,malaria,total de casos confirmados,2009-02-01,1,1
SACABA,malaria,total de casos confirmados,2009-02-01,1,1
SAIPINA,malaria,total de casos confirmados,2009-02-01,4,4
SAN BORJA,malaria,total de casos confirmados,2009-02-01,1,1
SAN CARLOS,malaria,total de casos confirmados,2009-02-01,9,9
SAN IGNACIO DE VELASCO,malaria,total de casos confirmados,2009-02-01,8,8
SAN JAVIER(STC),malaria,total de casos confirmados,2009-02-01,1,1
SAN JOAQUIN,malaria,total de casos confirmados,2009-02-01,1,1
SAN LORENZO(PND),malaria,total de casos confirmados,2009-02-01,3,3
SAN LORENZO(TJA),malaria,total de casos confirmados,2009-02-01,1,1
SANTA CRUZ DE LA SIERRA,malaria,total de casos confirmados,2009-02-01,1,1
SANTA ROSA,malaria,total de casos confirmados,2009-02-01,2,2
SENA,malaria,total de casos confirmados,2009-02-01,41,41
TEOPONTE,malaria,total de casos confirmados,2009-02-01,10,10
TORO TORO,malaria,total de casos confirmados,2009-02-01,3,3
VILA VILA,malaria,total de casos confirmados,2009-02-01,2,2
VILLA MONTES,malaria,total de casos confirmados,2009-02-01,2,2
YACUIBA,malaria,total de casos confirmados,2009-02-01,53,53
YAPACANI,malaria,total de casos confirmados,2009-02-01,7,7
ARANI,malaria,total de casos confirmados,2009-03-01,2,2
AYATA,malaria,total de casos confirmados,2009-03-01,4,4
AZURDUY,malaria,total de casos confirmados,2009-03-01,4,4
BAURES,malaria,total de casos confirmados,2009-03-01,9,9
BERMEJO,malaria,total de casos confirmados,2009-03-01,3,3
BUENA VISTA,malaria,total de casos confirmados,2009-03-01,4,4
CABEZAS,malaria,total de casos confirmados,2009-03-01,4,4
CARANAVI,malaria,total de casos confirmados,2009-03-01,5,5
CARAPARI,malaria,total de casos confirmados,2009-03-01,2,2
COBIJA,malaria,total de casos confirmados,2009-03-01,1,1
CONCEPCION,malaria,total de casos confirmados,2009-03-01,1,1
CULPINA,malaria,total de casos confirmados,2009-03-01,1,1
EL TORNO,malaria,total de casos confirmados,2009-03-01,30,30
ENTRE RIOS,malaria,total de casos confirmados,2009-03-01,8,8
ENTRE RIOS,malaria,total de casos confirmados,2009-03-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),malaria,total de casos confirmados,2009-03-01,35,35
GUANAY,malaria,total de casos confirmados,2009-03-01,4,4
GUAYARAMERIN,malaria,total de casos confirmados,2009-03-01,123,123
LA GUARDIA,malaria,total de casos confirmados,2009-03-01,3,3
LA PAZ,malaria,total de casos confirmados,2009-03-01,4,4
LAGUNILLAS,malaria,total de casos confirmados,2009-03-01,3,3
MONTEAGUDO,malaria,total de casos confirmados,2009-03-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de casos confirmados,2009-03-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2009-03-01,21,21
POROMA,malaria,total de casos confirmados,2009-03-01,1,1
PORONGO,malaria,total de casos confirmados,2009-03-01,12,12
PORTACHUELO,malaria,total de casos confirmados,2009-03-01,1,1
PUERTO RICO,malaria,total de casos confirmados,2009-03-01,10,10
RAVELO,malaria,total de casos confirmados,2009-03-01,7,7
REYES,malaria,total de casos confirmados,2009-03-01,8,8
RIBERALTA,malaria,total de casos confirmados,2009-03-01,230,230
ROBORE,malaria,total de casos confirmados,2009-03-01,2,2
SAIPINA,malaria,total de casos confirmados,2009-03-01,2,2
SAMAIPATA,malaria,total de casos confirmados,2009-03-01,1,1
SAN BORJA,malaria,total de casos confirmados,2009-03-01,1,1
SAN CARLOS,malaria,total de casos confirmados,2009-03-01,1,1
SAN IGNACIO DE VELASCO,malaria,total de casos confirmados,2009-03-01,25,25
SAN LORENZO(TJA),malaria,total de casos confirmados,2009-03-01,1,1
SAN PEDRO DE BUENA VISTA,malaria,total de casos confirmados,2009-03-01,4,4
SANTA CRUZ DE LA SIERRA,malaria,total de casos confirmados,2009-03-01,4,4
SANTA ROSA,malaria,total de casos confirmados,2009-03-01,3,3
SENA,malaria,total de casos confirmados,2009-03-01,104,104
TEOPONTE,malaria,total de casos confirmados,2009-03-01,6,6
VILA VILA,malaria,total de casos confirmados,2009-03-01,12,12
VILLA MONTES,malaria,total de casos confirmados,2009-03-01,6,6
VILLA NUEVA (LOMA ALTA),malaria,total de casos confirmados,2009-03-01,2,2
VILLA TUNARI,malaria,total de casos confirmados,2009-03-01,1,1
YACUIBA,malaria,total de casos confirmados,2009-03-01,66,66
ACACIO,malaria,total de casos confirmados,2009-04-01,1,1
AYATA,malaria,total de casos confirmados,2009-04-01,5,5
