municipality,group,variable,month,Número de Muestras hemáticas tomadas,TOTAL
AIQUILE,malaria,numero de muestras hematicas tomadas,2009-01-01,10,10
AYATA,malaria,numero de muestras hematicas tomadas,2009-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),malaria,numero de muestras hematicas tomadas,2009-01-01,3,3
AZURDUY,malaria,numero de muestras hematicas tomadas,2009-01-01,7,7
BAURES,malaria,numero de muestras hematicas tomadas,2009-01-01,65,65
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2009-01-01,36,36
BERMEJO,malaria,numero de muestras hematicas tomadas,2009-01-01,130,130
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2009-01-01,91,91
CABEZAS,malaria,numero de muestras hematicas tomadas,2009-01-01,6,6
CAMATAQUI (C. VILLA ABECIA),malaria,numero de muestras hematicas tomadas,2009-01-01,22,22
CAMIRI,malaria,numero de muestras hematicas tomadas,2009-01-01,92,92
CARANAVI,malaria,numero de muestras hematicas tomadas,2009-01-01,124,124
CARAPARI,malaria,numero de muestras hematicas tomadas,2009-01-01,78,78
COBIJA,malaria,numero de muestras hematicas tomadas,2009-01-01,381,381
COLOMI,malaria,numero de muestras hematicas tomadas,2009-01-01,2,2
CONCEPCION,malaria,numero de muestras hematicas tomadas,2009-01-01,37,37
COROICO,malaria,numero de muestras hematicas tomadas,2009-01-01,15,15
COTOCA,malaria,numero de muestras hematicas tomadas,2009-01-01,4,4
CUEVO,malaria,numero de muestras hematicas tomadas,2009-01-01,4,4
CULPINA,malaria,numero de muestras hematicas tomadas,2009-01-01,7,7
EL TORNO,malaria,numero de muestras hematicas tomadas,2009-01-01,870,870
EL VILLAR,malaria,numero de muestras hematicas tomadas,2009-01-01,2,2
ENTRE RIOS,malaria,numero de muestras hematicas tomadas,2009-01-01,81,81
ENTRE RIOS,malaria,numero de muestras hematicas tomadas,2009-01-01,2,2
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2009-01-01,58,58
EXALTACION,malaria,numero de muestras hematicas tomadas,2009-01-01,1,1
FILADELFIA,malaria,numero de muestras hematicas tomadas,2009-01-01,27,27
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de muestras hematicas tomadas,2009-01-01,10,10
GUANAY,malaria,numero de muestras hematicas tomadas,2009-01-01,126,126
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2009-01-01,2797,2797
GUTIERREZ,malaria,numero de muestras hematicas tomadas,2009-01-01,1,1
HUACARETA,malaria,numero de muestras hematicas tomadas,2009-01-01,14,14
ICLA,malaria,numero de muestras hematicas tomadas,2009-01-01,1,1
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2009-01-01,24,24
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2009-01-01,106,106
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2009-01-01,44,44
LA PAZ,malaria,numero de muestras hematicas tomadas,2009-01-01,56,56
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2009-01-01,24,24
MACHARETI,malaria,numero de muestras hematicas tomadas,2009-01-01,25,25
MAGDALENA,malaria,numero de muestras hematicas tomadas,2009-01-01,129,129
MAPIRI,malaria,numero de muestras hematicas tomadas,2009-01-01,26,26
MIZQUE,malaria,numero de muestras hematicas tomadas,2009-01-01,14,14
MOJOCOYA,malaria,numero de muestras hematicas tomadas,2009-01-01,4,4
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2009-01-01,125,125
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2009-01-01,109,109
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2009-01-01,349,349
OMEREQUE,malaria,numero de muestras hematicas tomadas,2009-01-01,5,5
PADCAYA,malaria,numero de muestras hematicas tomadas,2009-01-01,8,8
PADILLA,malaria,numero de muestras hematicas tomadas,2009-01-01,32,32
PAILON,malaria,numero de muestras hematicas tomadas,2009-01-01,3,3
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2009-01-01,104,104
POROMA,malaria,numero de muestras hematicas tomadas,2009-01-01,38,38
PORONGO,malaria,numero de muestras hematicas tomadas,2009-01-01,47,47
PORTACHUELO,malaria,numero de muestras hematicas tomadas,2009-01-01,1,1
PORVENIR,malaria,numero de muestras hematicas tomadas,2009-01-01,138,138
PRESTO,malaria,numero de muestras hematicas tomadas,2009-01-01,1,1
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2009-01-01,63,63
