municipality,group,variable,month,Tratamientos iniciados por sospecha,TOTAL
AYATA,malaria,tratamientos iniciados por sospecha,2009-01-01,3,3
AZURDUY,malaria,tratamientos iniciados por sospecha,2009-01-01,4,4
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2009-01-01,56,56
CABEZAS,malaria,tratamientos iniciados por sospecha,2009-01-01,2,2
CAMIRI,malaria,tratamientos iniciados por sospecha,2009-01-01,4,4
COLOMI,malaria,tratamientos iniciados por sospecha,2009-01-01,2,2
CONCEPCION,malaria,tratamientos iniciados por sospecha,2009-01-01,6,6
COTOCA,malaria,tratamientos iniciados por sospecha,2009-01-01,1,1
CULPINA,malaria,tratamientos iniciados por sospecha,2009-01-01,7,7
EL TORNO,malaria,tratamientos iniciados por sospecha,2009-01-01,16,16
EL VILLAR,malaria,tratamientos iniciados por sospecha,2009-01-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),malaria,tratamientos iniciados por sospecha,2009-01-01,3,3
GUANAY,malaria,tratamientos iniciados por sospecha,2009-01-01,15,15
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2009-01-01,1,1
HUACARETA,malaria,tratamientos iniciados por sospecha,2009-01-01,3,3
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2009-01-01,10,10
LA PAZ,malaria,tratamientos iniciados por sospecha,2009-01-01,1,1
LAGUNILLAS,malaria,tratamientos iniciados por sospecha,2009-01-01,1,1
MOJOCOYA,malaria,tratamientos iniciados por sospecha,2009-01-01,1,1
OMEREQUE,malaria,tratamientos iniciados por sospecha,2009-01-01,4,4
PADCAYA,malaria,tratamientos iniciados por sospecha,2009-01-01,1,1
PADILLA,malaria,tratamientos iniciados por sospecha,2009-01-01,5,5
PAILON,malaria,tratamientos iniciados por sospecha,2009-01-01,1,1
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2009-01-01,8,8
PORONGO,malaria,tratamientos iniciados por sospecha,2009-01-01,34,34
PORTACHUELO,malaria,tratamientos iniciados por sospecha,2009-01-01,1,1
RURRENABAQUE,malaria,tratamientos iniciados por sospecha,2009-01-01,2,2
SAIPINA,malaria,tratamientos iniciados por sospecha,2009-01-01,1,1
SAN BUENA VENTURA,malaria,tratamientos iniciados por sospecha,2009-01-01,1,1
SAN CARLOS,malaria,tratamientos iniciados por sospecha,2009-01-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2009-01-01,4,4
SAN LORENZO(TJA),malaria,tratamientos iniciados por sospecha,2009-01-01,2,2
SAN MATIAS,malaria,tratamientos iniciados por sospecha,2009-01-01,3,3
SAN PEDRO,malaria,tratamientos iniciados por sospecha,2009-01-01,1,1
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2009-01-01,4,4
SANTA ANA,malaria,tratamientos iniciados por sospecha,2009-01-01,1,1
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2009-01-01,11,11
SUCRE,malaria,tratamientos iniciados por sospecha,2009-01-01,3,3
TEOPONTE,malaria,tratamientos iniciados por sospecha,2009-01-01,79,79
TORO TORO,malaria,tratamientos iniciados por sospecha,2009-01-01,5,5
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2009-01-01,2,2
VILA VILA,malaria,tratamientos iniciados por sospecha,2009-01-01,8,8
VILLA MONTES,malaria,tratamientos iniciados por sospecha,2009-01-01,4,4
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2009-01-01,2,2
WARNES,malaria,tratamientos iniciados por sospecha,2009-01-01,1,1
YACUIBA,malaria,tratamientos iniciados por sospecha,2009-01-01,23,23
YAPACANI,malaria,tratamientos iniciados por sospecha,2009-01-01,2,2
ACACIO,malaria,tratamientos iniciados por sospecha,2009-02-01,1,1
APOLO,malaria,tratamientos iniciados por sospecha,2009-02-01,1,1
AYATA,malaria,tratamientos iniciados por sospecha,2009-02-01,6,6
AZURDUY,malaria,tratamientos iniciados por sospecha,2009-02-01,10,10
BERMEJO,malaria,tratamientos iniciados por sospecha,2009-02-01,2,2
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2009-02-01,133,133
CARAPARI,malaria,tratamientos iniciados por sospecha,2009-02-01,1,1
CONCEPCION,malaria,tratamientos iniciados por sospecha,2009-02-01,1,1
CULPINA,malaria,tratamientos iniciados por sospecha,2009-02-01,7,7
EL PUENTE(TJA),malaria,tratamientos iniciados por sospecha,2009-02-01,1,1
EL TORNO,malaria,tratamientos iniciados por sospecha,2009-02-01,18,18
GRAL. J.J. PEREZ (CHARAZANI),malaria,tratamientos iniciados por sospecha,2009-02-01,14,14
GUANAY,malaria,tratamientos iniciados por sospecha,2009-02-01,19,19
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2009-02-01,1,1
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2009-02-01,4,4
LA GUARDIA,malaria,tratamientos iniciados por sospecha,2009-02-01,2,2
LAGUNILLAS,malaria,tratamientos iniciados por sospecha,2009-02-01,2,2
MIZQUE,malaria,tratamientos iniciados por sospecha,2009-02-01,2,2
OMEREQUE,malaria,tratamientos iniciados por sospecha,2009-02-01,6,6
PADCAYA,malaria,tratamientos iniciados por sospecha,2009-02-01,2,2
PADILLA,malaria,tratamientos iniciados por sospecha,2009-02-01,2,2
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2009-02-01,20,20
PASORAPA,malaria,tratamientos iniciados por sospecha,2009-02-01,1,1
POROMA,malaria,tratamientos iniciados por sospecha,2009-02-01,1,1
PORONGO,malaria,tratamientos iniciados por sospecha,2009-02-01,22,22
PUERTO SILES,malaria,tratamientos iniciados por sospecha,2009-02-01,1,1
