municipality,group,variable,month,Nuevas en personas de 5 a 14 años -Hombre,Nuevas en personas de 5 a 14 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACACIO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,11,20,11,20,31
ACHACACHI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,94,66,94,66,160
ACHOCALLA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,25,21,25,21,46
AIQUILE,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,55,81,55,81,136
ALALAY,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,5,4,5,4,9
ALCALA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,12,5,12,5,17
ANCORAIMES,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,19,12,19,12,31
ANDAMARCA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,4,3,4,3,7
ANTEQUERA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,4,1,4,1,5
ANZALDO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,9,12,9,12,21
APOLO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,51,64,51,64,115
ARAMPAMPA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,11,6,11,6,17
ARANI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,17,9,17,9,26
ARBIETO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,15,16,15,16,31
ARQUE,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,18,16,18,16,34
ASCENCION DE GUARAYOS,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,70,94,70,94,164
ATOCHA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,167,193,167,193,360
AUCAPATA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,14,21,14,21,35
AYATA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,23,11,23,11,34
AYO AYO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,7,6,7,6,13
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,33,30,33,30,63
AZURDUY,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,44,37,44,37,81
BATALLAS,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,18,26,18,26,44
BAURES,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,22,17,22,17,39
BELEN DE ANDAMARCA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,1,2,1,2,3
BELEN DE URMIRI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,7,11,7,11,18
BELLA FLOR,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,10,16,10,16,26
BERMEJO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,281,225,281,225,506
BETANZOS,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,92,106,92,106,198
BOLIVAR,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,8,6,8,6,14
BOLPEBRA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,4,14,4,14,18
BOYUIBE,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,33,40,33,40,73
BUENA VISTA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,110,107,110,107,217
CABEZAS,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,95,91,95,91,186
CAIROMA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,17,26,17,26,43
"CAIZA ""D""",consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,28,35,28,35,63
CAJUATA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,44,53,44,53,97
CALACOTO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,14,14,14,14,28
CALAMARCA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,9,19,9,19,28
CAMARGO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,77,72,77,72,149
CAMATAQUI (C. VILLA ABECIA),consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,12,13,12,13,25
CAMIRI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,253,360,253,360,613
CAPINOTA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,54,40,54,40,94
CAQUIAVIRI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,16,14,16,14,30
CARACOLLO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,36,51,36,51,87
CARANAVI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,133,147,133,147,280
CARAPARI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,88,67,88,67,155
CARIPUYO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,9,13,9,13,22
CARMEN RIVERO TORREZ,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,3,6,3,6,9
CATACORA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,8,9,8,9,17
CHACARILLA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,1,0,1,0,1
CHALLAPATA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,59,42,59,42,101
CHAQUI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,19,18,19,18,37
CHARAGUA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,98,114,98,114,212
CHARAÑA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,10,7,10,7,17
CHAYANTA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,41,42,41,42,83
CHIMORE,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,77,68,77,68,145
CHIPAYA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,0,1,0,1,1
CHOQUE COTA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,3,3,3,3,6
CHULUMANI (V. DE LA LIBERTAD),consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,60,45,60,45,105
CHUMA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,35,35,35,35,70
CLIZA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,21,30,21,30,51
COBIJA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,267,230,267,230,497
COCHABAMBA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,4152,4374,4152,4374,8526
COIPASA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,1,9,1,9,10
COLCAPIRHUA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,161,142,161,142,303
"COLCHA ""K""",consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,30,38,30,38,68
COLLANA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,9,5,9,5,14
COLOMI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,52,24,52,24,76
COLPA BELGICA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,58,30,58,30,88
COLQUECHACA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,92,98,92,98,190
COLQUENCHA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,24,25,24,25,49
COLQUIRI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,40,37,40,37,77
COMANCHE,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,2,4,2,4,6
COMARAPA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,63,100,63,100,163
COMBAYA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,6,2,6,2,8
CONCEPCION,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,26,24,26,24,50
COPACABANA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,8,16,8,16,24
CORIPATA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,32,24,32,24,56
CORO CORO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,22,13,22,13,35
COROICO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,44,45,44,45,89
CORQUE,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,34,22,34,22,56
COTAGAITA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,226,237,226,237,463
COTOCA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,103,78,103,78,181
CUATRO CAÑADAS,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,86,78,86,78,164
CUCHUMUELA (V. G. VILLARROEL),consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,2,4,2,4,6
CUEVO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,53,62,53,62,115
CULPINA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,45,53,45,53,98
CURAHUARA DE CARANGAS,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,17,32,17,32,49
CURVA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,3,12,3,12,15
DESAGUADERO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,8,8,8,8,16
EL ALTO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,3684,3777,3684,3777,7461
EL CHORO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,9,10,9,10,19
EL PUENTE(STC),consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,35,31,35,31,66
EL PUENTE(TJA),consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,33,34,33,34,67
EL TORNO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,234,228,234,228,462
EL VILLAR,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,27,27,27,27,54
ENTRE RIOS,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,125,147,125,147,272
ENTRE RIOS,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,66,38,66,38,104
ESCARA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,0,1,0,1,1
EUCALIPTUS,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,13,15,13,15,28
EUREKA (SANTOS MERCADO),consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,3,2,3,2,5
EXALTACION,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,9,17,9,17,26
FERNANDEZ ALONSO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,61,51,61,51,112
FILADELFIA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,25,23,25,23,48
GENERAL SAAVEDRA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,76,84,76,84,160
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,24,32,24,32,56
GUANAY,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,29,31,29,31,60
GUAQUI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,7,14,7,14,21
GUAYARAMERIN,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,257,300,257,300,557
GUTIERREZ,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,192,190,192,190,382
HUACARETA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,51,39,51,39,90
HUACAYA (VILLA DE HUACAYA),consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,17,16,17,16,33
HUACHACALLA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,2,1,2,1,3
HUANUNI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,303,279,303,279,582
HUARACAJE,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,20,16,20,16,36
HUAYLLAMARCA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,95,77,95,77,172
ICHOCA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,9,16,9,16,25
ICLA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,24,24,24,24,48
INCAHUASI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,45,45,45,45,90
INGAVI (HUMAITA),consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,5,4,5,4,9
INQUISIVI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,33,31,33,31,64
IRUPANA (VILLA DE LANZA),consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,51,61,51,61,112
