municipality,group,variable,month,Nuevas en personas de 60 años o más -Hombre,Nuevas en personas de 60 años o más -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACACIO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,24,46,24,46,70
ACHACACHI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,113,85,113,85,198
ACHOCALLA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,12,9,12,9,21
AIQUILE,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,52,85,52,85,137
ALALAY,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,4,6,4,6,10
ALCALA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,19,24,19,24,43
ANCORAIMES,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,33,18,33,18,51
ANDAMARCA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,18,18,18,18,36
ANTEQUERA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,1,6,1,6,7
ANZALDO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,24,27,24,27,51
APOLO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,39,39,39,39,78
ARAMPAMPA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,3,8,3,8,11
ARANI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,9,21,9,21,30
ARBIETO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,22,30,22,30,52
ARQUE,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,10,23,10,23,33
ASCENCION DE GUARAYOS,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,20,26,20,26,46
ATOCHA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,71,132,71,132,203
AUCAPATA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,15,15,15,15,30
AYATA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,10,25,10,25,35
AYO AYO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,8,10,8,10,18
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,50,55,50,55,105
AZURDUY,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,31,45,31,45,76
BATALLAS,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,30,24,30,24,54
BAURES,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,10,14,10,14,24
BELEN DE ANDAMARCA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,1,2,1,2,3
BELEN DE URMIRI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,17,13,17,13,30
BELLA FLOR,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,7,9,7,9,16
BERMEJO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,268,249,268,249,517
BETANZOS,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,116,218,116,218,334
BOLIVAR,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,16,14,16,14,30
BOLPEBRA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,9,2,9,2,11
BOYUIBE,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,18,22,18,22,40
BUENA VISTA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,98,71,98,71,169
CABEZAS,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,44,36,44,36,80
CAIROMA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,14,20,14,20,34
"CAIZA ""D""",consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,42,72,42,72,114
CAJUATA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,34,19,34,19,53
CALACOTO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,28,33,28,33,61
CALAMARCA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,9,8,9,8,17
CAMARGO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,128,212,128,212,340
CAMATAQUI (C. VILLA ABECIA),consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,16,17,16,17,33
CAMIRI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,677,847,677,847,1524
CAPINOTA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,26,40,26,40,66
CAQUIAVIRI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,25,54,25,54,79
CARACOLLO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,38,36,38,36,74
CARANAVI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,103,56,103,56,159
CARANGAS,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,2,0,2,0,2
CARAPARI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,49,37,49,37,86
CARIPUYO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,13,15,13,15,28
CARMEN RIVERO TORREZ,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,6,6,6,6,12
CATACORA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,2,6,2,6,8
CHACARILLA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
CHALLAPATA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,101,82,101,82,183
CHAQUI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,29,30,29,30,59
CHARAGUA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,39,36,39,36,75
CHARAÑA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,10,10,10,10,20
CHAYANTA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,25,60,25,60,85
CHIMORE,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,26,15,26,15,41
