municipality,group,variable,month,Nuevas en personas de 15 a 59 años -Hombre,Nuevas en personas de 15 a 59 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACACIO,consulta externa,nuevas en personas de 15 a 59 anos,2005-01-01,60,106,60,106,166
ACHACACHI,consulta externa,nuevas en personas de 15 a 59 anos,2005-01-01,353,495,353,495,848
ACHOCALLA,consulta externa,nuevas en personas de 15 a 59 anos,2005-01-01,69,141,69,141,210
AIQUILE,consulta externa,nuevas en personas de 15 a 59 anos,2005-01-01,167,423,167,423,590
ALALAY,consulta externa,nuevas en personas de 15 a 59 anos,2005-01-01,9,26,9,26,35
ALCALA,consulta externa,nuevas en personas de 15 a 59 anos,2005-01-01,55,101,55,101,156
ANCORAIMES,consulta externa,nuevas en personas de 15 a 59 anos,2005-01-01,70,147,70,147,217
ANDAMARCA,consulta externa,nuevas en personas de 15 a 59 anos,2005-01-01,24,42,24,42,66
ANTEQUERA,consulta externa,nuevas en personas de 15 a 59 anos,2005-01-01,4,8,4,8,12
ANZALDO,consulta externa,nuevas en personas de 15 a 59 anos,2005-01-01,30,68,30,68,98
APOLO,consulta externa,nuevas en personas de 15 a 59 anos,2005-01-01,87,262,87,262,349
ARAMPAMPA,consulta externa,nuevas en personas de 15 a 59 anos,2005-01-01,39,78,39,78,117
ARANI,consulta externa,nuevas en personas de 15 a 59 anos,2005-01-01,32,73,32,73,105
ARBIETO,consulta externa,nuevas en personas de 15 a 59 anos,2005-01-01,46,88,46,88,134
ARQUE,consulta externa,nuevas en personas de 15 a 59 anos,2005-01-01,85,73,85,73,158
ASCENCION DE GUARAYOS,consulta externa,nuevas en personas de 15 a 59 anos,2005-01-01,162,271,162,271,433
ATOCHA,consulta externa,nuevas en personas de 15 a 59 anos,2005-01-01,776,905,776,905,1681
AUCAPATA,consulta externa,nuevas en personas de 15 a 59 anos,2005-01-01,74,84,74,84,158
AYATA,consulta externa,nuevas en personas de 15 a 59 anos,2005-01-01,38,89,38,89,127
