municipality,group,variable,month,Repetidas en personas de 60 años o más -Hombre,Repetidas en personas de 60 años o más -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACACIO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,3,0,3,3
ACHACACHI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,21,19,21,19,40
ACHOCALLA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,2,3,2,5
AIQUILE,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,38,38,38,38,76
ANCORAIMES,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,1,1,1,2
ANDAMARCA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
ANZALDO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
APOLO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
ARAMPAMPA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
ARANI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
ARBIETO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,6,3,6,9
ARQUE,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
ATOCHA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,27,32,27,32,59
AUCAPATA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,2,1,2,3
AYATA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,4,1,4,5
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,4,3,4,3,7
AZURDUY,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,4,2,4,6
BATALLAS,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,1,1,1,2
BAURES,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,4,3,4,7
BELEN DE URMIRI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,7,3,7,10
BELLA FLOR,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,8,0,8,0,8
BERMEJO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,49,89,49,89,138
BETANZOS,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,28,33,28,33,61
BOLIVAR,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,2,3,2,5
BOYUIBE,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,4,0,4,4
BUENA VISTA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,32,24,32,24,56
