municipality,group,variable,month,Repetidas en personas de 15 a 59 años -Hombre,Repetidas en personas de 15 a 59 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACACIO,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,3,1,3,1,4
ACHACACHI,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,42,37,42,37,79
ACHOCALLA,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,14,19,14,19,33
AIQUILE,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,49,228,49,228,277
ALCALA,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,0,1,0,1,1
ANCORAIMES,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,3,11,3,11,14
ANDAMARCA,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,0,4,0,4,4
ANTEQUERA,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,1,0,1,0,1
ANZALDO,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,1,7,1,7,8
APOLO,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,6,8,6,8,14
ARANI,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,1,4,1,4,5
ARBIETO,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,2,3,2,3,5
ARQUE,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,3,3,3,3,6
ATOCHA,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,138,159,138,159,297
AUCAPATA,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,3,7,3,7,10
AYATA,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,1,1,1,1,2
AYO AYO,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,1,2,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,6,9,6,9,15
AZURDUY,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,0,3,0,3,3
BATALLAS,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,13,5,13,5,18
BAURES,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,5,7,5,7,12
BELEN DE URMIRI,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,5,3,5,3,8
BERMEJO,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,88,121,88,121,209
BETANZOS,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,24,30,24,30,54
BOLIVAR,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,2,0,2,0,2
BOLPEBRA,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,3,2,3,2,5
BOYUIBE,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,4,7,4,7,11
BUENA VISTA,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,41,79,41,79,120
CABEZAS,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,0,2,0,2,2
CAIROMA,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,0,1,0,1,1
"CAIZA ""D""",consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,0,9,0,9,9
CAJUATA,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,1,1,1,1,2
CALACOTO,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,0,3,0,3,3
CALAMARCA,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,7,10,7,10,17
CAMARGO,consulta externa,repetidas en personas de 15 a 59 anos,2005-01-01,9,42,9,42,51
