municipality,group,variable,month,Repetidas en personas de 5 a 14 años -Hombre,Repetidas en personas de 5 a 14 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACACIO,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,0,3,0,3,3
ACHACACHI,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,7,6,7,6,13
ACHOCALLA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,2,2,2,2,4
AIQUILE,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,14,16,14,16,30
ANCORAIMES,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,10,2,10,2,12
ARQUE,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,0,1,0,1
ATOCHA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,13,29,13,29,42
AYO AYO,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,0,1,0,1,1
BATALLAS,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,0,4,0,4,4
BAURES,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,3,3,3,3,6
BELEN DE URMIRI,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,0,1,0,1,1
BERMEJO,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,18,25,18,25,43
BETANZOS,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,3,1,3,1,4
BOYUIBE,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,9,3,9,3,12
BUENA VISTA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,11,12,11,12,23
CABEZAS,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,3,2,3,2,5
"CAIZA ""D""",consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,0,4,0,4,4
CAJUATA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,0,1,0,1,1
CALACOTO,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,2,0,2,0,2
CALAMARCA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,0,1,0,1,1
CAMARGO,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,3,6,3,6,9
CAMATAQUI (C. VILLA ABECIA),consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,0,1,0,1,1
CAMIRI,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,28,68,28,68,96
CAPINOTA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,89,5,89,5,94
CAQUIAVIRI,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,2,0,2,0,2
CARACOLLO,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,3,5,3,5,8
CARANAVI,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,10,7,10,7,17
CARAPARI,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,3,0,3,0,3
CARMEN RIVERO TORREZ,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,0,1,0,1,1
CATACORA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,0,1,0,1
CHALLAPATA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,2,1,2,3
CHAQUI,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,4,1,4,5
CHARAGUA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,11,3,11,3,14
CHARAÑA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,0,1,0,1
CHAYANTA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,2,1,2,3
CHIMORE,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,6,2,6,2,8
CHULUMANI (V. DE LA LIBERTAD),consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,6,2,6,2,8
CHUMA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,4,1,4,5
CLIZA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,1,1,1,2
COBIJA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,31,28,31,28,59
COCHABAMBA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,2049,1986,2049,1986,4035
COLCAPIRHUA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,62,43,62,43,105
"COLCHA ""K""",consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,3,1,3,1,4
COLOMI,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,4,1,4,1,5
COLPA BELGICA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,34,8,34,8,42
COLQUECHACA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,1,1,1,2
COLQUIRI,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,9,3,9,3,12
COMANCHE,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,1,1,1,2
COMARAPA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,8,5,8,5,13
COMBAYA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,0,1,0,1
CONCEPCION,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,6,2,6,2,8
COPACABANA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,6,5,6,5,11
CORIPATA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,0,1,0,1
COROICO,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,13,4,13,4,17
CORQUE,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,2,1,2,3
COTAGAITA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,4,8,4,8,12
COTOCA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,4,33,4,33,37
CUATRO CAÑADAS,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,4,4,4,4,8
CUEVO,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,2,4,2,4,6
EL ALTO,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,2075,2816,2075,2816,4891
EL PUENTE(STC),consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,3,0,3,0,3
EL TORNO,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,41,45,41,45,86
EL VILLAR,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,2,1,2,3
ENTRE RIOS,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,3,4,3,4,7
ENTRE RIOS,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,4,4,4,4,8
EUCALIPTUS,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,0,1,0,1
FERNANDEZ ALONSO,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,6,5,6,5,11
GENERAL SAAVEDRA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,3,0,3,0,3
GUANAY,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,15,7,15,7,22
GUAQUI,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,0,5,0,5,5
GUAYARAMERIN,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,58,68,58,68,126
GUTIERREZ,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,8,9,8,9,17
HUACARETA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,7,0,7,0,7
HUANUNI,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,79,73,79,73,152
HUARACAJE,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,3,5,3,5,8
ICLA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,6,1,6,7
INGAVI (HUMAITA),consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,3,0,3,0,3
IXIAMAS,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,3,0,3,0,3
JESUS DE MACHACA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,2,0,2,0,2
LA ASUNTA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,0,1,0,1
LA GUARDIA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,10,3,10,3,13
LA PAZ,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,2332,2567,2332,2567,4899
LAJA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,0,1,0,1
LAS CARRERAS,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,0,1,0,1
LLALLAGUA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,7,15,7,15,22
LORETO,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,2,0,2,0,2
LURIBAY,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,0,1,0,1
MACHACAMARCA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,2,2,2,2,4
MACHARETI,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,1,1,1,2
MAGDALENA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,14,17,14,17,31
MAIRANA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,3,1,3,4
MAPIRI,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,2,1,2,1,3
MECAPACA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,15,10,15,10,25
MINEROS,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,0,1,0,1,1
MOCOMOCO,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,0,1,0,1
MOJINETE,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,0,1,0,1
MOJOCOYA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,2,1,2,1,3
MONTEAGUDO,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,15,17,15,17,32
MONTERO,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,127,130,127,130,257
MOROCHATA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,1,0,1,0,1
OKINAWA,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,9,8,9,8,17
ORURO,consulta externa,repetidas en personas de 5 a 14 anos,2005-01-01,388,456,388,456,844
