municipality,group,variable,month,Repetidas en menores de 5 años -Hombre,Repetidas en menores de 5 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACACIO,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,2,2,2,4
ACHACACHI,consulta externa,repetidas en menores de 5 anos,2005-01-01,6,12,6,12,18
ACHOCALLA,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,5,2,5,7
AIQUILE,consulta externa,repetidas en menores de 5 anos,2005-01-01,77,84,77,84,161
ALALAY,consulta externa,repetidas en menores de 5 anos,2005-01-01,13,13,13,13,26
ALCALA,consulta externa,repetidas en menores de 5 anos,2005-01-01,5,0,5,0,5
ANCORAIMES,consulta externa,repetidas en menores de 5 anos,2005-01-01,14,12,14,12,26
ANDAMARCA,consulta externa,repetidas en menores de 5 anos,2005-01-01,4,0,4,0,4
ANTEQUERA,consulta externa,repetidas en menores de 5 anos,2005-01-01,9,14,9,14,23
ANZALDO,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,3,3,3,6
APOLO,consulta externa,repetidas en menores de 5 anos,2005-01-01,0,2,0,2,2
ARAMPAMPA,consulta externa,repetidas en menores de 5 anos,2005-01-01,0,3,0,3,3
ARANI,consulta externa,repetidas en menores de 5 anos,2005-01-01,15,10,15,10,25
ARBIETO,consulta externa,repetidas en menores de 5 anos,2005-01-01,7,2,7,2,9
ARQUE,consulta externa,repetidas en menores de 5 anos,2005-01-01,30,25,30,25,55
ASCENCION DE GUARAYOS,consulta externa,repetidas en menores de 5 anos,2005-01-01,0,1,0,1,1
ATOCHA,consulta externa,repetidas en menores de 5 anos,2005-01-01,20,13,20,13,33
AUCAPATA,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,0,1,0,1
AYATA,consulta externa,repetidas en menores de 5 anos,2005-01-01,0,4,0,4,4
AYO AYO,consulta externa,repetidas en menores de 5 anos,2005-01-01,9,2,9,2,11
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,repetidas en menores de 5 anos,2005-01-01,5,7,5,7,12
AZURDUY,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,2,1,2,3
BATALLAS,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,2,3,2,5
BAURES,consulta externa,repetidas en menores de 5 anos,2005-01-01,13,5,13,5,18
BELEN DE URMIRI,consulta externa,repetidas en menores de 5 anos,2005-01-01,5,1,5,1,6
BERMEJO,consulta externa,repetidas en menores de 5 anos,2005-01-01,40,45,40,45,85
BETANZOS,consulta externa,repetidas en menores de 5 anos,2005-01-01,28,28,28,28,56
BOLIVAR,consulta externa,repetidas en menores de 5 anos,2005-01-01,12,6,12,6,18
BOLPEBRA,consulta externa,repetidas en menores de 5 anos,2005-01-01,8,2,8,2,10
BOYUIBE,consulta externa,repetidas en menores de 5 anos,2005-01-01,8,6,8,6,14
BUENA VISTA,consulta externa,repetidas en menores de 5 anos,2005-01-01,123,78,123,78,201
CABEZAS,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,2,2,2,4
"CAIZA ""D""",consulta externa,repetidas en menores de 5 anos,2005-01-01,3,1,3,1,4
CAJUATA,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,0,2,0,2
CALACOTO,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,3,3,3,6
CALAMARCA,consulta externa,repetidas en menores de 5 anos,2005-01-01,15,6,15,6,21
CAMARGO,consulta externa,repetidas en menores de 5 anos,2005-01-01,19,14,19,14,33
CAMATAQUI (C. VILLA ABECIA),consulta externa,repetidas en menores de 5 anos,2005-01-01,3,2,3,2,5
CAMIRI,consulta externa,repetidas en menores de 5 anos,2005-01-01,151,136,151,136,287
CAPINOTA,consulta externa,repetidas en menores de 5 anos,2005-01-01,33,40,33,40,73
CAQUIAVIRI,consulta externa,repetidas en menores de 5 anos,2005-01-01,0,1,0,1,1
CARACOLLO,consulta externa,repetidas en menores de 5 anos,2005-01-01,4,8,4,8,12
CARANAVI,consulta externa,repetidas en menores de 5 anos,2005-01-01,31,23,31,23,54
CARAPARI,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,4,1,4,5
CARMEN RIVERO TORREZ,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,0,1,0,1
CHACARILLA,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,7,2,7,9
CHALLAPATA,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,4,2,4,6
CHAQUI,consulta externa,repetidas en menores de 5 anos,2005-01-01,0,3,0,3,3
CHARAGUA,consulta externa,repetidas en menores de 5 anos,2005-01-01,78,58,78,58,136
CHAYANTA,consulta externa,repetidas en menores de 5 anos,2005-01-01,12,4,12,4,16
CHIMORE,consulta externa,repetidas en menores de 5 anos,2005-01-01,64,64,64,64,128
CHIPAYA,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,6,1,6,7
CHOQUE COTA,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,2,1,2,3
CHULUMANI (V. DE LA LIBERTAD),consulta externa,repetidas en menores de 5 anos,2005-01-01,5,3,5,3,8
CHUMA,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,3,3,3,6
CLIZA,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,5,3,5,8
COBIJA,consulta externa,repetidas en menores de 5 anos,2005-01-01,219,228,219,228,447
COCHABAMBA,consulta externa,repetidas en menores de 5 anos,2005-01-01,2850,2610,2850,2610,5460
COLCAPIRHUA,consulta externa,repetidas en menores de 5 anos,2005-01-01,92,83,92,83,175
"COLCHA ""K""",consulta externa,repetidas en menores de 5 anos,2005-01-01,4,0,4,0,4
COLOMI,consulta externa,repetidas en menores de 5 anos,2005-01-01,20,25,20,25,45
