,group,variable,month,TOTAL 22.2 N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTAL 22.2 N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,3,3
ACHACACHI,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,66,66
AIQUILE,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,48,48
ALCALA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,3,3
ANCORAIMES,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,16,16
APOLO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,14,14
ARBIETO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,8,8
ARQUE,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,1,1
ASCENCION DE GUARAYOS,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,43,43
AYOPAYA (V. DE INDEPENDENCIA),vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,17,17
AZURDUY,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,10,10
BERMEJO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,89,89
BETANZOS,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,20,20
BOLPEBRA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,1,1
BUENA VISTA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,17,17
CABEZAS,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,60,60
"CAIZA ""D""",vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,3,3
CAMARGO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,42,42
CAMATAQUI (C. VILLA ABECIA),vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,1,1
CAMIRI,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,139,139
CAPINOTA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,47,47
CARACOLLO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,31,31
CARANAVI,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,20,20
CARAPARI,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,36,36
CHALLAPATA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,102,102
CHARAGUA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,47,47
CHIMORE,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,26,26
CHIPAYA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,3,3
CHOQUE COTA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,36,36
CHUMA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,5,5
CLIZA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,82,82
COBIJA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,175,175
COCHABAMBA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,2464,2464
COLCAPIRHUA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,103,103
COLPA BELGICA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,14,14
COLQUECHACA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,7,7
COMARAPA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,34,34
CONCEPCION,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,2,2
CORO CORO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,5,5
COROICO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,43,43
COTOCA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,112,112
CUEVO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,7,7
CULPINA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,30,30
DESAGUADERO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,11,11
