,group,variable,month,TOTAL 22.3 N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTAL 22.3 N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,vih,       n de personas con prueba rapida,2014-01-01,22,15,37
AIQUILE,vih,       n de personas con prueba rapida,2014-01-01,3,4,7
ANCORAIMES,vih,       n de personas con prueba rapida,2014-01-01,1,1,2
APOLO,vih,       n de personas con prueba rapida,2014-01-01,5,16,21
ARQUE,vih,       n de personas con prueba rapida,2014-01-01,1,6,7
ASCENCION DE GUARAYOS,vih,       n de personas con prueba rapida,2014-01-01,16,65,81
AYOPAYA (V. DE INDEPENDENCIA),vih,       n de personas con prueba rapida,2014-01-01,1,0,1
AZURDUY,vih,       n de personas con prueba rapida,2014-01-01,1,11,12
BERMEJO,vih,       n de personas con prueba rapida,2014-01-01,5,12,17
BETANZOS,vih,       n de personas con prueba rapida,2014-01-01,0,20,20
BOLPEBRA,vih,       n de personas con prueba rapida,2014-01-01,3,8,11
BUENA VISTA,vih,       n de personas con prueba rapida,2014-01-01,4,3,7
CABEZAS,vih,       n de personas con prueba rapida,2014-01-01,2,29,31
"CAIZA ""D""",vih,       n de personas con prueba rapida,2014-01-01,1,3,4
CAMARGO,vih,       n de personas con prueba rapida,2014-01-01,1,7,8
CAMATAQUI (C. VILLA ABECIA),vih,       n de personas con prueba rapida,2014-01-01,0,3,3
CAMIRI,vih,       n de personas con prueba rapida,2014-01-01,6,126,132
CAPINOTA,vih,       n de personas con prueba rapida,2014-01-01,6,61,67
CARACOLLO,vih,       n de personas con prueba rapida,2014-01-01,0,15,15
CARANAVI,vih,       n de personas con prueba rapida,2014-01-01,27,13,40
CARAPARI,vih,       n de personas con prueba rapida,2014-01-01,1,29,30
CHALLAPATA,vih,       n de personas con prueba rapida,2014-01-01,1,103,104
CHARAGUA,vih,       n de personas con prueba rapida,2014-01-01,0,1,1
CHIMORE,vih,       n de personas con prueba rapida,2014-01-01,1,12,13
CHULUMANI (V. DE LA LIBERTAD),vih,       n de personas con prueba rapida,2014-01-01,2,7,9
CHUMA,vih,       n de personas con prueba rapida,2014-01-01,0,1,1
CLIZA,vih,       n de personas con prueba rapida,2014-01-01,1,2,3
COBIJA,vih,       n de personas con prueba rapida,2014-01-01,18,97,115
COCHABAMBA,vih,       n de personas con prueba rapida,2014-01-01,44,453,497
COLLANA,vih,       n de personas con prueba rapida,2014-01-01,0,91,91
COLQUECHACA,vih,       n de personas con prueba rapida,2014-01-01,0,1,1
COMARAPA,vih,       n de personas con prueba rapida,2014-01-01,2,9,11
CORO CORO,vih,       n de personas con prueba rapida,2014-01-01,3,3,6
COROICO,vih,       n de personas con prueba rapida,2014-01-01,5,2,7
COTOCA,vih,       n de personas con prueba rapida,2014-01-01,3,0,3
CUEVO,vih,       n de personas con prueba rapida,2014-01-01,0,1,1
CULPINA,vih,       n de personas con prueba rapida,2014-01-01,3,0,3
DESAGUADERO,vih,       n de personas con prueba rapida,2014-01-01,2,10,12
EL ALTO,vih,       n de personas con prueba rapida,2014-01-01,331,1794,2125
EL CHORO,vih,       n de personas con prueba rapida,2014-01-01,1,0,1
EL PUENTE(STC),vih,       n de personas con prueba rapida,2014-01-01,19,38,57
EL PUENTE(TJA),vih,       n de personas con prueba rapida,2014-01-01,1,0,1
EL TORNO,vih,       n de personas con prueba rapida,2014-01-01,34,99,133
EL VILLAR,vih,       n de personas con prueba rapida,2014-01-01,0,4,4
ENTRE RIOS TRJ,vih,       n de personas con prueba rapida,2014-01-01,5,32,37
ENTRE RIOS CBBA,vih,       n de personas con prueba rapida,2014-01-01,3,17,20
ESCOMA,vih,       n de personas con prueba rapida,2014-01-01,1,1,2
EUCALIPTUS,vih,       n de personas con prueba rapida,2014-01-01,0,1,1
EUREKA (SANTOS MERCADO),vih,       n de personas con prueba rapida,2014-01-01,0,10,10
FERNANDEZ ALONSO,vih,       n de personas con prueba rapida,2014-01-01,7,128,135
FILADELFIA,vih,       n de personas con prueba rapida,2014-01-01,1,3,4
GENERAL SAAVEDRA,vih,       n de personas con prueba rapida,2014-01-01,0,41,41
GRAL. J.J. PEREZ (CHARAZANI),vih,       n de personas con prueba rapida,2014-01-01,0,1,1
