,group,variable,month,TOTAL 22.1 PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTAL 22.1 PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,22.0,81.0,103.0
AIQUILE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,3.0,4.0,7.0
APOLO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,5.0,16.0,21.0
ARBIETO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,0.0,1.0
ARQUE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,5.0,6.0
ASCENCION DE GUARAYOS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,16.0,106.0,122.0
AYOPAYA (V. DE INDEPENDENCIA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,5.0,6.0
AZURDUY,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,18.0,19.0
BERMEJO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,1.0,1.0
BETANZOS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,23.0,23.0
BOLPEBRA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,3.0,8.0,11.0
BUENA VISTA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,4.0,20.0,24.0
CABEZAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,73.0,74.0
"CAIZA ""D""",vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,0.0,1.0
CAMARGO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,49.0,50.0
CAMATAQUI (C. VILLA ABECIA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,3.0,3.0
CAMIRI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,6.0,4.0,10.0
CAPINOTA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,6.0,14.0,20.0
CARACOLLO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,46.0,46.0
CARANAVI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,27.0,33.0,60.0
CARAPARI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,36.0,37.0
CHALLAPATA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,1.0,2.0
CHIMORE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,38.0,39.0
CHOQUE COTA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,2.0,2.0
CHUMA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,6.0,6.0
CLIZA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,84.0,85.0
COBIJA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,18.0,349.0,367.0
COCHABAMBA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,76.0,1462.0,1538.0
COMARAPA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,2.0,9.0,11.0
CONCEPCION,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,6.0,6.0,12.0
COPACABANA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,1.0,1.0
CORO CORO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,3.0,11.0,14.0
COROICO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,5.0,2.0,7.0
COTOCA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,3.0,112.0,115.0
