,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS,ANTIPOLIOMIELÍTICA 2DA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
CAMIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-01-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-01-01,0,3,0,3,3
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-01-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-01-01,2,0,2,0,2
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-01-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-01-01,2,0,2,0,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-01-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-01-01,4,0,4,0,4
PADCAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-01-01,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-01-01,0,1,0,1,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-01-01,1,0,1,0,1
SACACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-01-01,4,2,4,2,6
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-01-01,1,0,1,0,1
TARACO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-01-01,0,3,0,3,3
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-01-01,0,1,0,1,1
VINTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-01-01,4,0,4,0,4
YACUIBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-01-01,1,0,1,0,1
CAIROMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-02-01,0,1,0,1,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-02-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-02-01,17,0,17,0,17
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-02-01,1,0,1,0,1
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-02-01,2,0,2,0,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-02-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-02-01,3,1,3,1,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-02-01,2,0,2,0,2
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-02-01,5,0,5,0,5
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-02-01,1,0,1,0,1
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-02-01,1,1,1,1,2
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-02-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-02-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-02-01,1,0,1,0,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-02-01,0,2,0,2,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-02-01,0,1,0,1,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-02-01,0,1,0,1,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-02-01,7,0,7,0,7
VINTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-02-01,1,0,1,0,1
ARQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,8,0,8,0,8
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,1,1,1,1,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,33,7,33,7,40
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,2,1,2,1,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,14,16,14,16,30
EL CHORO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,2,0,2,0,2
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,6,0,6,0,6
PADCAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,1,0,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,0,1,0,1,1
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,1,1,1,1,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,3,0,3,0,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,0,2,0,2,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,2,0,2,0,2
ROBORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,19,0,19,0,19
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,29,0,29,0,29
TACACHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,1,0,1,0,1
TARACO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,0,1,0,1,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,2,0,2,0,2
TOLATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,0,1,0,1,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-03-01,1,0,1,0,1
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-04-01,2,2,2,2,4
CALACOTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-04-01,0,4,0,4,4
CHAQUI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-04-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-04-01,2,3,2,3,5
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-04-01,4,1,4,1,5
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-04-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-04-01,4,1,4,1,5
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-04-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-04-01,1,1,1,1,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-04-01,6,0,6,0,6
LAJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-04-01,7,0,7,0,7
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-04-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-04-01,3,0,3,0,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-04-01,1,0,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-04-01,2,0,2,0,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-04-01,2,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-04-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-04-01,2,0,2,0,2
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-04-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-04-01,10,1,10,1,11
