,group,variable,month,DPT 1RA DOSIS,DPT 1RA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
CAMIRI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,2,4,2,4,6
CARAPARI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,0,2,0,2,2
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,0,2,0,2,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,28,1,28,1,29
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,1,0,1,0,1
HUACARETA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,3,0,3,0,3
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,29,0,29,0,29
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,1,0,1,0,1
OCURI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,2,0,2,0,2
PADCAYA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,3,0,3,0,3
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,4,0,4,0,4
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,1,0,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,10,0,10,0,10
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,4,0,4,0,4
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,2,0,2,0,2
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,1,0,1,0,1
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,1,2,1,2,3
TARVITA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,0,1,0,1,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,6,0,6,0,6
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,0,4,0,4,4
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,1,1,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-01-01,17,7,17,7,24
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,1,0,1,0,1
ATOCHA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,4,0,4,0,4
BETANZOS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,0,19,0,19,19
CABEZAS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,16,0,16,0,16
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,0,2,0,2,2
COCAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,1,5,1,5,6
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,0,2,0,2,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,0,5,0,5,5
COMARAPA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,18,0,18,0,18
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,6,0,6,0,6
MECAPACA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,0,11,0,11,11
MIZQUE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,8,0,8,0,8
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,2,0,2,0,2
PADCAYA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,0,1,0,1,1
PALCA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,1,0,1,0,1
POROMA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,2,0,2,0,2
PORVENIR,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,0,4,0,4,4
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,2,0,2,0,2
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,2,0,2,0,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,1,0,1,0,1
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,0,14,0,14,14
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,0,2,0,2,2
TARACO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,0,1,0,1,1
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,1,0,1,0,1
TOCO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,2,2,2,2,4
TOMINA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,0,1,0,1,1
TUPIZA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,2,0,2,0,2
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,13,0,13,0,13
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-02-01,0,5,0,5,5
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,0,5,0,5,5
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,0,6,0,6,6
AIQUILE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,10,0,10,0,10
ALALAY,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,0,2,0,2,2
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,0,1,0,1,1
APOLO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,0,26,0,26,26
ATOCHA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,3,0,3,0,3
AZURDUY,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,3,0,3,0,3
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,2,0,2,0,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,25,0,25,0,25
HUACARETA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,3,4,3,4,7
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,2,0,2,0,2
MAPIRI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,3,0,3,0,3
MIZQUE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,0,1,0,1,1
OCURI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,5,1,5,1,6
PADCAYA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,1,0,1,0,1
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,0,2,0,2,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,3,0,3,0,3
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,2,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,2,0,2,0,2
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,0,4,0,4,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,15,0,15,0,15
