,group,variable,month,ANTIPOLIOMIELÍTICA 4TA DOSIS,ANTIPOLIOMIELÍTICA 4TA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-01-01,0,6,0,6,6
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-01-01,5,0,5,0,5
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-01-01,136,0,136,0,136
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-01-01,1,4,1,4,5
CALACOTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-02-01,0,6,0,6,6
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-02-01,8,0,8,0,8
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-02-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-02-01,4,1,4,1,5
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-02-01,3,0,3,0,3
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-02-01,4,2,4,2,6
PUNATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-02-01,2,0,2,0,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-02-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-02-01,92,3,92,3,95
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-02-01,0,2,0,2,2
CALACOTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-03-01,0,4,0,4,4
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-03-01,2,26,2,26,28
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-03-01,26,0,26,0,26
COMANCHE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-03-01,0,2,0,2,2
CORO CORO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-03-01,3,9,3,9,12
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-03-01,0,4,0,4,4
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-03-01,40,8,40,8,48
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-03-01,1,0,1,0,1
POCONA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-03-01,0,3,0,3,3
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-03-01,1,0,1,0,1
REYES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-03-01,0,1,0,1,1
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-03-01,36,22,36,22,58
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-03-01,7,5,7,5,12
TARACO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-03-01,1,8,1,8,9
TIPUANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-03-01,3,1,3,1,4
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-03-01,1,0,1,0,1
CALACOTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,0,5,0,5,5
CHAQUI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,15,0,15,0,15
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,18,2,18,2,20
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,10,1,10,1,11
COMANCHE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,4,2,4,2,6
COMBAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,0,3,0,3,3
CORO CORO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,6,2,6,2,8
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,2,1,2,1,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,20,60,20,60,80
EL TORNO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,9,0,9,0,9
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,8,0,8,0,8
LAJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,0,8,0,8,8
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,4,0,4,0,4
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,4,0,4,0,4
REYES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,0,2,0,2,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,30,0,30,0,30
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,10,7,10,7,17
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,0,2,0,2,2
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,2,2,2,2,4
TARACO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,0,20,0,20,20
TARATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,0,1,0,1,1
TOLATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,0,3,0,3,3
TUPIZA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,0,1,0,1,1
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-04-01,0,6,0,6,6
ALCALA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,27,0,27,27
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,8,0,8,0,8
AZURDUY,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,16,10,16,10,26
BETANZOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,10,13,10,13,23
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,11,14,11,14,25
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,1,0,1,1
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,10,0,10,10
CARAPARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,3,2,3,2,5
CHAQUI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,4,17,4,17,21
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,3,0,3,3
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,4,0,4,4
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,11,3,11,3,14
COCAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,5,10,5,10,15
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,81,15,81,15,96
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,14,15,14,15,29
COMARAPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,1,0,1,1
CORO CORO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,10,0,10,10
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,3,0,3,3
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,3,0,3,0,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,2,3,2,3,5
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,1,0,1,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,46,43,46,43,89
