,group,variable,month,DPT 2DA DOSIS,DPT 2DA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
CAMIRI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-01-01,3,0,3,0,3
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-01-01,0,18,0,18,18
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-01-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-01-01,8,0,8,0,8
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-01-01,3,0,3,0,3
OCURI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-01-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-01-01,4,0,4,0,4
PADCAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-01-01,1,0,1,0,1
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-01-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-01-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-01-01,7,0,7,0,7
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-01-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-01-01,10,0,10,0,10
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-01-01,1,0,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-01-01,0,3,0,3,3
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-01-01,2,0,2,0,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-01-01,0,1,0,1,1
VINTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-01-01,3,0,3,0,3
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-01-01,5,1,5,1,6
CABEZAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,27,0,27,0,27
CAIROMA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,0,1,0,1,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,0,2,0,2,2
COCAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,1,2,1,2,3
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,19,0,19,0,19
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,2,0,2,0,2
MECAPACA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,0,9,0,9,9
MIZQUE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,7,0,7,0,7
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,3,0,3,0,3
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,8,0,8,0,8
PADCAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,1,2,1,2,3
PALCA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,3,0,3,0,3
POROMA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,1,0,1,0,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,0,5,0,5,5
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,2,0,2,0,2
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,2,4,2,4,6
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,1,0,1,0,1
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,0,5,0,5,5
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,2,0,2,0,2
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,3,0,3,0,3
TOCO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,2,2,2,2,4
TUPIZA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,0,4,0,4,4
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,0,1,0,1,1
VINTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-02-01,8,0,8,0,8
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,0,2,0,2,2
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,0,14,0,14,14
AIQUILE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,2,0,2,0,2
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,0,2,0,2,2
APOLO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,0,7,0,7,7
ATOCHA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,1,0,1,0,1
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,0,2,0,2,2
CAIROMA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,1,1,1,1,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,7,2,7,2,9
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,2,1,2,1,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,11,1,11,1,12
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,1,0,1,0,1
MAPIRI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,7,0,7,0,7
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,4,0,4,0,4
PADCAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,2,0,2,0,2
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,0,1,0,1,1
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,0,3,0,3,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,3,0,3,0,3
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,14,0,14,0,14
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,3,0,3,0,3
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,33,0,33,0,33
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,0,1,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,4,0,4,0,4
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,0,9,0,9,9
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,2,0,2,0,2
TOMINA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,0,2,0,2,2
TUPIZA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,4,0,4,0,4
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,1,0,1,0,1
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-03-01,2,0,2,0,2
ALALAY,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,0,2,0,2,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,0,2,0,2,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,0,7,0,7,7
CALACOTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,3,0,3,0,3
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,1,0,1,0,1
