,group,variable,month,DPT 3RA DOSIS,DPT 3RA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-01-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-01-01,17,0,17,0,17
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-01-01,1,0,1,0,1
HUACARETA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-01-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-01-01,3,0,3,0,3
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-01-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-01-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-01-01,6,0,6,0,6
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-01-01,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-01-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-01-01,2,0,2,0,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-01-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-01-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-01-01,2,0,2,0,2
VINTO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-01-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-01-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,14,0,14,0,14
CAMIRI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,2,0,2,0,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,1,1,1,1,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,3,0,3,0,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,2,0,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,1,0,1,0,1
MECAPACA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,0,1,0,1,1
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,4,0,4,0,4
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,2,0,2,0,2
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,1,1,1,1,2
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,2,0,2,0,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,3,0,3,0,3
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,0,3,0,3,3
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,2,0,2,0,2
VINTO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-02-01,1,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,0,1,0,1,1
APOLO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,0,2,0,2,2
ATOCHA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,1,0,1,0,1
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,0,2,0,2,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,2,1,2,1,3
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,15,0,15,0,15
COMARAPA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,16,0,16,0,16
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,14,1,14,1,15
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,1,1,1,1,2
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,1,1,1,1,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,3,0,3,0,3
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,6,0,6,0,6
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,12,0,12,0,12
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,0,9,0,9,9
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,45,0,45,0,45
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,0,1,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,1,0,1,0,1
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,0,1,0,1,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,2,1,2,1,3
TOMINA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,0,1,0,1,1
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,0,1,0,1,1
TUPIZA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,1,0,1,0,1
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-03-01,2,0,2,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,0,1,0,1,1
ATOCHA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,1,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,0,3,0,3,3
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,4,0,4,0,4
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,5,1,5,1,6
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,1,0,1,0,1
CULPINA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,8,6,8,6,14
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,1,2,1,2,3
EL TORNO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,4,1,4,1,5
OCURI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,0,4,0,4,4
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,8,0,8,0,8
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,3,0,3,0,3
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,2,0,2,0,2
