,group,variable,month,SRP DOSIS ÚNICA,SRP DOSIS ÚNICA,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,2,0,2,0,2
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,49,30,49,30,79
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,14,16,14,16,30
AIQUILE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,20,5,20,5,25
ALALAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,2,2,2,2,4
ALCALA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,1,2,1,2,3
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,5,13,5,13,18
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,3,8,3,8,11
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,3,2,3,2,5
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,2,1,2,1,3
ANZALDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,9,7,9,7,16
APOLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,20,12,20,12,32
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,0,1,0,1,1
ARANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,15,5,15,5,20
ARBIETO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,10,33,10,33,43
ARQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,11,0,11,0,11
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,35,7,35,7,42
ATOCHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,15,9,15,9,24
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,1,2,1,2,3
AYATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,4,13,4,13,17
AYO AYO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,9,4,9,4,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,21,24,21,24,45
AZURDUY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,10,9,10,9,19
BATALLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,17,1,17,1,18
BAURES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,6,0,6,0,6
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,37,16,37,16,53
BETANZOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,18,28,18,28,46
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,11,5,11,5,16
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,0,6,0,6,6
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,15,15,15,15,30
CABEZAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,19,11,19,11,30
CAIROMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,7,7,7,7,14
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,2,12,2,12,14
CAJUATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,14,1,14,1,15
CALACOTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,3,4,3,4,7
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,7,8,7,8,15
CAMARGO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,11,5,11,5,16
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,2,1,2,1,3
CAMIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,63,7,63,7,70
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,23,4,23,4,27
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,7,0,7,0,7
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,35,16,35,16,51
CARANAVI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,79,25,79,25,104
CARAPARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,18,4,18,4,22
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,2,15,2,15,17
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,5,4,5,4,9
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,36,16,36,16,52
CHAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,4,0,4,0,4
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,34,86,34,86,120
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,0,1,0,1,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,12,15,12,15,27
CHIMORE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,28,6,28,6,34
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,4,0,4,0,4
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,26,5,26,5,31
CHUMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,5,8,5,8,13
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,6,0,6,0,6
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,4,12,4,12,16
CLIZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,27,9,27,9,36
COBIJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,86,4,86,4,90
COCAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,7,29,7,29,36
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,1062,4,1062,4,1066
COIPASA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,1,1,1,1,2
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,87,0,87,0,87
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,12,0,12,0,12
COLLANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,3,0,3,0,3
COLOMI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,31,15,31,15,46
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,11,7,11,7,18
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,17,47,17,47,64
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,5,6,5,6,11
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,11,9,11,9,20
COMANCHE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,6,4,6,4,10
COMARAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,21,8,21,8,29
COMBAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,0,3,0,3,3
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,17,10,17,10,27
COPACABANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,9,11,9,11,20
CORIPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,10,3,10,3,13
COROICO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,12,8,12,8,20
CORQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,0,4,0,4,4
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,10,6,10,6,16
COTOCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,67,23,67,23,90
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,14,8,14,8,22
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,3,0,3,0,3
CUEVO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,1,5,1,5,6
CULPINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,17,8,17,8,25
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,6,4,6,4,10
CURVA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,0,1,0,1,1
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,4,0,4,0,4
EL ALTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,1398,115,1398,115,1513
EL CHORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,1,2,1,2,3
