,group,variable,month,ANTI AMARÍLICA,ANTI AMARÍLICA,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,14,29,14,29,43
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,1,5,1,5,6
AIQUILE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,20,3,20,3,23
ALALAY,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,2,0,2,0,2
ALCALA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,2,6,2,6,8
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,3,12,3,12,15
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,1,0,1,1
ANZALDO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,1,0,1,1
APOLO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,13,0,13,0,13
ARANI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,11,2,11,2,13
ARBIETO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,7,36,7,36,43
ATOCHA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,6,17,6,17,23
AYATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,3,13,3,13,16
AYO AYO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,15,25,15,25,40
AZURDUY,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,5,5,5,5,10
BAURES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,6,0,6,0,6
BERMEJO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,52,31,52,31,83
BETANZOS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,16,0,16,16
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,6,2,6,2,8
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,12,0,12,12
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,5,33,5,33,38
CABEZAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,8,5,8,5,13
CAIROMA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,7,7,7,7,14
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,7,0,7,7
CAJUATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,13,0,13,0,13
CALACOTO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,2,4,2,4,6
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,7,1,7,1,8
CAMARGO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,23,11,23,11,34
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,2,1,2,1,3
CAMIRI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,61,22,61,22,83
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,6,18,6,18,24
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,5,0,5,0,5
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,21,11,21,11,32
CARANAVI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,81,17,81,17,98
CARAPARI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,3,21,3,21,24
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,2,12,2,12,14
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,2,6,2,6,8
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,26,12,26,12,38
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,39,92,39,92,131
CHIMORE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,28,3,28,3,31
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,4,0,4,0,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,22,5,22,5,27
CHUMA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,5,3,5,3,8
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,3,12,3,12,15
CLIZA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,20,11,20,11,31
COBIJA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,90,8,90,8,98
COCAPATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,4,0,4,4
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,1087,6,1087,6,1093
COIPASA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,1,4,1,4,5
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,193,0,193,0,193
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,6,0,6,0,6
COLLANA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,3,0,3,0,3
COLOMI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,6,11,6,11,17
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,10,9,10,9,19
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,12,15,12,15,27
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,6,0,6,6
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,10,12,10,12,22
COMANCHE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,9,5,9,5,14
COMARAPA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,30,26,30,26,56
COMBAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,3,0,3,3
CORIPATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,11,9,11,9,20
COROICO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,1,4,1,4,5
CORQUE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,4,0,4,4
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,9,1,9,1,10
COTOCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,104,25,104,25,129
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,3,4,3,4,7
CUEVO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,4,0,4,0,4
CULPINA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,19,5,19,5,24
EL ALTO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,1222,1,1222,1,1223
EL CHORO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,1,2,1,2,3
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,2,0,2,0,2
EL TORNO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,156,31,156,31,187
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,8,1,8,1,9
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,7,9,7,9,16
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,40,22,40,22,62
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,16,10,16,10,26
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,1,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,19,34,19,34,53
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,35,41,35,41,76
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,4,6,4,6,10
GUANAY,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,17,15,17,15,32
GUAQUI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,6,0,6,6
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,81,80,81,80,161
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,7,16,7,16,23
HUACARETA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,6,0,6,0,6
HUANUNI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,92,13,92,13,105
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,5,0,5,0,5
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,4,0,4,0,4
HUMANATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,6,0,6,0,6
ICHOCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,3,0,3,3
ICLA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,6,0,6,6
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,3,11,3,11,14
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,4,27,4,27,31
