,group,variable,month,DPT 4TA DOSIS,DPT 4TA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-01-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-01-01,3,0,3,0,3
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-01-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-01-01,1,0,1,0,1
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-01-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-02-01,3,0,3,0,3
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-02-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-02-01,0,23,0,23,23
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-02-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-02-01,2,0,2,0,2
PORVENIR,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-02-01,0,1,0,1,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-02-01,2,0,2,0,2
APOLO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-03-01,0,4,0,4,4
ATOCHA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-03-01,1,0,1,0,1
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-03-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-03-01,6,0,6,0,6
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-03-01,1,0,1,0,1
OCURI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-03-01,0,1,0,1,1
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-03-01,0,2,0,2,2
REYES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-03-01,3,0,3,0,3
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-03-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-03-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-03-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-03-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-04-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-04-01,15,0,15,0,15
EL TORNO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-04-01,9,0,9,0,9
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-04-01,0,4,0,4,4
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-04-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-04-01,1,0,1,0,1
REYES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-04-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-04-01,19,0,19,0,19
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-04-01,1,0,1,0,1
TOCO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-04-01,0,3,0,3,3
ALCALA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,27,0,27,27
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,1,3,1,3,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,8,0,8,0,8
AZURDUY,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,16,11,16,11,27
BETANZOS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,15,9,15,9,24
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,11,16,11,16,27
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,10,0,10,10
CARAPARI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,3,2,3,2,5
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,7,0,7,0,7
CHAQUI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,4,17,4,17,21
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,3,3,3,3,6
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,10,0,10,10
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,4,0,4,4
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,11,3,11,3,14
COCAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,1,20,1,20,21
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,80,13,80,13,93
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,14,21,14,21,35
COMARAPA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,1,0,1,1
CORO CORO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,10,0,10,10
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,10,0,10,10
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,3,0,3,0,3
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,2,0,2,2
EL TORNO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,52,43,52,43,95
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,4,0,4,0,4
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,8,15,8,15,23
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,8,0,8,0,8
HUACARETA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,1,0,1,0,1
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,13,0,13,13
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,1,3,1,3,4
ICLA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,15,0,15,15
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,2,0,2,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,3,0,3,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,5,1,5,1,6
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,2,0,2,0,2
LAJA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,10,0,10,10
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,1,2,1,2,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,3,0,3,3
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,2,0,2,2
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,3,14,3,14,17
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,17,27,17,27,44
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,1,2,1,2,3
PADILLA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,14,7,14,7,21
POCONA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,1,2,1,2,3
POROMA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,1,15,1,15,16
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,86,18,86,18,104
PUCARA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,2,0,2,0,2
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,13,0,13,0,13
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,11,16,11,16,27
PUNATA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,10,0,10,10
REYES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,1,18,1,18,19
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,22,0,22,0,22
