municipality,group,variable,month,Nacidos muertos atendidos por partera capacitada,TOTAL
CHARAGUA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-01-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-01-01,1,1
SAN MATIAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-01-01,0,0
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-01-01,1,1
YACO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-01-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-02-01,2,2
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-02-01,2,2
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-02-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-02-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-02-01,1,1
SAN JULIAN,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-02-01,0,0
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-03-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-03-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-03-01,1,1
PAILON,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-03-01,1,1
PAMPA AULLAGAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-03-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-03-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-03-01,2,2
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-03-01,0,0
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-03-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-03-01,1,1
BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-04-01,7,7
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-04-01,1,1
LA ASUNTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-04-01,1,1
OMEREQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-04-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-04-01,1,1
SAN JUAN DE YAPACANI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-04-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-04-01,0,0
SANTA ROSA DEL SARA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-04-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-04-01,9,9
TACOPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-04-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-04-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-04-01,1,1
TIQUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-04-01,1,1
ANCORAIMES,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-05-01,2,2
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-05-01,1,1
FILADELFIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-05-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-05-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-05-01,1,1
SAN JULIAN,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-05-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-05-01,0,0
VILA VILA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-05-01,1,1
WALDO BALLIVIAN,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-05-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-06-01,1,1
CKOCHAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-06-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-06-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-06-01,1,1
EL TORNO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-06-01,1,1
LA ASUNTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-06-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-06-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-06-01,1,1
RIBERALTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-06-01,1,1
SAN PABLO DE LIPEZ,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-06-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-06-01,0,0
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-06-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-07-01,2,2
CABEZAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-07-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-07-01,1,1
HUACHACALLA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-07-01,2,2
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-07-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-07-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-07-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-07-01,0,0
YACUIBA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-07-01,1,1
YUNCHARA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-07-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-08-01,1,1
CHOQUE COTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-08-01,1,1
MIZQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-08-01,2,2
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-08-01,1,1
PAILON,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-08-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-08-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-08-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-08-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-08-01,0,0
TOMAVE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-08-01,1,1
UYUNI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-08-01,1,1
ATOCHA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-09-01,3,3
CARIPUYO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-09-01,1,1
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-09-01,1,1
PADCAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-09-01,1,1
SAN ANDRES DE MACHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-09-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-09-01,0,0
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-09-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-09-01,1,1
TIQUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-09-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-09-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-10-01,1,1
CKOCHAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-10-01,2,2
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-10-01,1,1
GUTIERREZ,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-10-01,1,1
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-10-01,1,1
ORURO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-10-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-10-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-10-01,1,1
SAN CARLOS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-10-01,11,11
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-10-01,0,0
TACOPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-10-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-10-01,2,2
CHIMORE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-11-01,1,1
POCONA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-11-01,1,1
PORONGO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-11-01,1,1
