municipality,group,variable,month,Nacidos vivos atendidos por personal de salud,TOTAL
ACACIO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,4,4
ACHACACHI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,24,24
ACHOCALLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
AIQUILE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,2,2
ALALAY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,7,7
ALCALA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,7,7
ANDAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,12,12
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,6,6
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,3,3
ARANI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,4,4
ARBIETO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,4,4
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,22,22
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,2,2
ATOCHA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,3,3
AUCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,3,3
AYATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,6,6
AYO AYO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,7,7
AZURDUY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,12,12
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
BAURES,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,2,2
BELLA FLOR,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,16,16
BOLIVAR,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,8,8
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,3,3
CAIROMA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,10,10
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
CAJUATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,5,5
CALACOTO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,6,6
CALAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,9,9
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,3,3
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
CAMIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,5,5
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,5,5
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,10,10
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,15,15
CATACORA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
CHACARILLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,4,4
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,14,14
CHARAGUA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,7,7
CHARAÑA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,11,11
CHIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
CHOQUE COTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
CHUMA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,6,6
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,4,4
CKOCHAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,10,10
COBIJA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,2,2
COCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,12,12
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,3,3
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,6,6
COLOMI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,3,3
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,31,31
COLQUENCHA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,6,6
COLQUIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,22,22
COMANCHE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,2,2
COMARAPA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
COMBAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
CONCEPCION,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
COPACABANA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
CORIPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,3,3
CORO CORO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,7,7
COROICO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,11,11
COTOCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
CUEVO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,3,3
CULPINA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,11,11
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,5,5
CURVA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,5,5
DESAGUADERO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,4,4
EL CHORO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,2,2
EL PUENTE(STC),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
EL TORNO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,3,3
ENTRE RIOS TRJ,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,7,7
EUCALIPTUS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,2,2
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
EXALTACION,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,1,1
FILADELFIA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2011-01-01,4,4
