municipality,group,variable,month,Nacidos vivos con peso menor a 2500 g.,TOTAL
ACACIO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,2,2
ALCALA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
ANDAMARCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
APOLO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
ARBIETO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
ARQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
BOLIVAR,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,2,2
CAMARGO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
COBIJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
COTOCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
CUEVO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,2,2
EL ALTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
FILADELFIA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
ICLA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
LORETO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
LURIBAY,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
MINEROS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
OCURI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
PAMPA AULLAGAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
RAVELO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,2,2
RIBERALTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,2,2
SABAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
SACABA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
SAN JULIAN,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,0,0
SICA SICA (VILLA AROMA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
TARABUCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,2,2
VIACHA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
VILLA NUEVA (LOMA ALTA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,2,2
YAPACANI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
YUNCHARA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-01-01,1,1
AIQUILE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,1,1
ARANI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,1,1
BATALLAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,1,1
BOLIVAR,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,1,1
CAMARGO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,3,3
COMARAPA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,1,1
CORIPATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,1,1
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,1,1
LURIBAY,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,1,1
MACHARETI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,1,1
OCURI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,1,1
POROMA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,1,1
POTOSI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,1,1
PRESTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,1,1
PUNA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,1,1
RIBERALTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,1,1
ROBORE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,1,1
SABAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,1,1
SAN ANDRES,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2011-02-01,1,1
