municipality,group,variable,month,Nacidos muertos atendidos por personal de salud,TOTAL
ANCORAIMES,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-01-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-01-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-01-01,1,1
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-01-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-01-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-01-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-01-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-01-01,1,1
PUERTO QUIJARRO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-01-01,1,1
SAN MATIAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-01-01,0,0
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-01-01,1,1
TIAWANACU,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-01-01,1,1
TOLEDO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-01-01,1,1
VILLA CHARCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-01-01,1,1
ARQUE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-02-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-02-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-02-01,1,1
CORIPATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-02-01,1,1
FILADELFIA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-02-01,1,1
GUTIERREZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-02-01,1,1
POTOSI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-02-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-02-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-02-01,2,2
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-02-01,0,0
SOPACHUY,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-02-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-02-01,2,2
VIACHA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-02-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-02-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-03-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-03-01,1,1
BOLIVAR,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-03-01,1,1
CAJUATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-03-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-03-01,1,1
HUAYLLAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-03-01,1,1
MINEROS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-03-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-03-01,1,1
POJO (CBBA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-03-01,1,1
QUIABAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-03-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-03-01,0,0
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-03-01,1,1
ACACIO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-04-01,1,1
ATOCHA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-04-01,1,1
BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-04-01,7,7
COCHABAMBA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-04-01,1,1
CUATRO CAÑADAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-04-01,1,1
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-04-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-04-01,1,1
MONTEAGUDO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-04-01,1,1
REYES,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-04-01,1,1
RIBERALTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-04-01,2,2
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-04-01,1,1
SAMAIPATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-04-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-04-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-04-01,1,1
SAN RAFAEL,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-04-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-04-01,22,22
SICAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-04-01,1,1
SORACACHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-04-01,1,1
TACOBAMBA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-04-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-05-01,1,1
ANCORAIMES,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-05-01,1,1
CURVA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-05-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-05-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-05-01,1,1
MECAPACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-05-01,2,2
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-05-01,2,2
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-05-01,1,1
SAN AGUSTIN,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-05-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-05-01,0,0
SANTIAGO DE HUATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-05-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2011-05-01,1,1
