,group,variable,month,TRATAMIENTOS INICIADOS POR SOSPECHA VIVAX,TRATAMIENTOS INICIADOS POR SOSPECHA VIVAX,TRATAMIENTOS INICIADOS POR SOSPECHA FALCIPARUM,TRATAMIENTOS INICIADOS POR SOSPECHA FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AZURDUY,malaria,tratamientos iniciados por sospecha,2010-01-01,10,7,0,0,10,7,17
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2010-01-01,2,1,0,0,2,1,3
CABEZAS,malaria,tratamientos iniciados por sospecha,2010-01-01,1,1,0,0,1,1,2
CARANAVI,malaria,tratamientos iniciados por sospecha,2010-01-01,6,12,0,0,6,12,18
COROICO,malaria,tratamientos iniciados por sospecha,2010-01-01,9,11,0,0,9,11,20
CULPINA,malaria,tratamientos iniciados por sospecha,2010-01-01,3,3,0,0,3,3,6
EL TORNO,malaria,tratamientos iniciados por sospecha,2010-01-01,51,41,0,0,51,41,92
GUANAY,malaria,tratamientos iniciados por sospecha,2010-01-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2010-01-01,2,0,0,0,2,0,2
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2010-01-01,2,0,0,0,2,0,2
PUERTO SILES,malaria,tratamientos iniciados por sospecha,2010-01-01,0,1,0,0,0,1,1
SAIPINA,malaria,tratamientos iniciados por sospecha,2010-01-01,31,37,0,0,31,37,68
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2010-01-01,4,1,0,0,4,1,5
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2010-01-01,2,2,0,0,2,2,4
TEOPONTE,malaria,tratamientos iniciados por sospecha,2010-01-01,7,6,0,0,7,6,13
TORO TORO,malaria,tratamientos iniciados por sospecha,2010-01-01,5,2,0,0,5,2,7
YACUIBA,malaria,tratamientos iniciados por sospecha,2010-01-01,0,2,0,0,0,2,2
YAPACANI,malaria,tratamientos iniciados por sospecha,2010-01-01,0,0,0,1,0,1,1
AIQUILE,malaria,tratamientos iniciados por sospecha,2010-02-01,1,0,0,0,1,0,1
AZURDUY,malaria,tratamientos iniciados por sospecha,2010-02-01,2,3,0,0,2,3,5
