,group,variable,month,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS VIVAX,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS VIVAX,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS FALCIPARUM,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-01-01,16,10,0,0,16,10,26
BUENA VISTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-01-01,5,4,0,0,5,4,9
CABEZAS,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-01-01,2,0,0,0,2,0,2
CARAPARI,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-01-01,1,0,0,0,1,0,1
COMARAPA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-01-01,1,2,0,0,1,2,3
CULPINA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-01-01,3,1,0,0,3,1,4
EL TORNO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-01-01,13,10,0,0,13,10,23
GUAYARAMERIN,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-01-01,2,0,0,0,2,0,2
LA ASUNTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-01-01,2,0,0,0,2,0,2
MAGDALENA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-01-01,1,0,0,0,1,0,1
MIZQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-01-01,0,1,0,0,0,1,1
PADCAYA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-01-01,0,2,0,0,0,2,2
PUERTO RICO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-01-01,2,2,0,0,2,2,4
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-01-01,1,1,0,0,1,1,2
RURRENABAQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-01-01,2,0,0,0,2,0,2
TEOPONTE,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-01-01,5,2,0,0,5,2,7
