,group,variable,month,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,malaria,numero de muestras hematicas tomadas,2010-01-01,8,6,0,0,8,6,14
ALCALA,malaria,numero de muestras hematicas tomadas,2010-01-01,0,4,0,0,0,4,4
APOLO,malaria,numero de muestras hematicas tomadas,2010-01-01,3,4,0,0,3,4,7
AZURDUY,malaria,numero de muestras hematicas tomadas,2010-01-01,27,22,0,0,27,22,49
BAURES,malaria,numero de muestras hematicas tomadas,2010-01-01,61,34,0,0,61,34,95
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2010-01-01,59,0,0,0,59,0,59
BERMEJO,malaria,numero de muestras hematicas tomadas,2010-01-01,30,36,0,0,30,36,66
BOLPEBRA,malaria,numero de muestras hematicas tomadas,2010-01-01,31,0,0,0,31,0,31
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2010-01-01,6,4,0,0,6,4,10
CABEZAS,malaria,numero de muestras hematicas tomadas,2010-01-01,5,1,0,0,5,1,6
CAMIRI,malaria,numero de muestras hematicas tomadas,2010-01-01,14,14,0,0,14,14,28
CARANAVI,malaria,numero de muestras hematicas tomadas,2010-01-01,43,45,0,0,43,45,88
CARAPARI,malaria,numero de muestras hematicas tomadas,2010-01-01,726,5,0,0,726,5,731
CHARAGUA,malaria,numero de muestras hematicas tomadas,2010-01-01,1,0,0,0,1,0,1
COBIJA,malaria,numero de muestras hematicas tomadas,2010-01-01,80,19,0,0,80,19,99
COLCAPIRHUA,malaria,numero de muestras hematicas tomadas,2010-01-01,1,0,0,0,1,0,1
COMARAPA,malaria,numero de muestras hematicas tomadas,2010-01-01,1,2,0,0,1,2,3
COROICO,malaria,numero de muestras hematicas tomadas,2010-01-01,97,88,0,0,97,88,185
COTOCA,malaria,numero de muestras hematicas tomadas,2010-01-01,2,2,0,0,2,2,4
CULPINA,malaria,numero de muestras hematicas tomadas,2010-01-01,54,6,0,0,54,6,60
