,group,variable,month,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS VIVAX,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS VIVAX,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS FALCIPARUM,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AZURDUY,malaria,numero de tratamientos especificos dispensados,2010-01-01,3,1,0,0,3,1,4
BAURES,malaria,numero de tratamientos especificos dispensados,2010-01-01,16,10,0,0,16,10,26
BELLA FLOR,malaria,numero de tratamientos especificos dispensados,2010-01-01,3,0,0,0,3,0,3
BERMEJO,malaria,numero de tratamientos especificos dispensados,2010-01-01,0,22,0,0,0,22,22
BOLPEBRA,malaria,numero de tratamientos especificos dispensados,2010-01-01,3,0,0,0,3,0,3
BUENA VISTA,malaria,numero de tratamientos especificos dispensados,2010-01-01,3,3,0,0,3,3,6
CABEZAS,malaria,numero de tratamientos especificos dispensados,2010-01-01,3,0,0,0,3,0,3
CARANAVI,malaria,numero de tratamientos especificos dispensados,2010-01-01,5,3,0,0,5,3,8
CARAPARI,malaria,numero de tratamientos especificos dispensados,2010-01-01,3,2,0,0,3,2,5
COBIJA,malaria,numero de tratamientos especificos dispensados,2010-01-01,11,0,0,1,11,1,12
COMARAPA,malaria,numero de tratamientos especificos dispensados,2010-01-01,1,2,0,0,1,2,3
COROICO,malaria,numero de tratamientos especificos dispensados,2010-01-01,10,13,0,0,10,13,23
CULPINA,malaria,numero de tratamientos especificos dispensados,2010-01-01,1,1,0,0,1,1,2
EL TORNO,malaria,numero de tratamientos especificos dispensados,2010-01-01,77,72,0,0,77,72,149
ENTRE RIOS TRJ,malaria,numero de tratamientos especificos dispensados,2010-01-01,17,14,0,0,17,14,31
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2010-01-01,0,3,0,0,0,3,3
FILADELFIA,malaria,numero de tratamientos especificos dispensados,2010-01-01,3,0,0,1,3,1,4
GUANAY,malaria,numero de tratamientos especificos dispensados,2010-01-01,0,2,0,0,0,2,2
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2010-01-01,84,53,8,9,92,62,154
