,group,variable,month,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2013-01-01,0,5,5
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2013-01-01,3,11,14
ANZALDO,cirugias y anestesias,anestesias generales y regionales,2013-01-01,10,9,19
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2013-01-01,2,17,19
BAURES,cirugias y anestesias,anestesias generales y regionales,2013-01-01,0,4,4
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2013-01-01,14,83,97
BETANZOS,cirugias y anestesias,anestesias generales y regionales,2013-01-01,0,2,2
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2013-01-01,18,22,40
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2013-01-01,26,78,104
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2013-01-01,4,16,20
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2013-01-01,4,11,15
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2013-01-01,0,9,9
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2013-01-01,0,9,9
CLIZA,cirugias y anestesias,anestesias generales y regionales,2013-01-01,0,8,8
COBIJA,cirugias y anestesias,anestesias generales y regionales,2013-01-01,32,72,104
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2013-01-01,1628,2414,4042
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2013-01-01,45,31,76
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2013-01-01,0,16,16
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2013-01-01,1,12,13
COROICO,cirugias y anestesias,anestesias generales y regionales,2013-01-01,6,13,19
COTOCA,cirugias y anestesias,anestesias generales y regionales,2013-01-01,0,3,3
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2013-01-01,464,738,1202
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2013-01-01,19,49,68
ENTRE RIOS TRJ,cirugias y anestesias,anestesias generales y regionales,2013-01-01,2,19,21
ESCOMA,cirugias y anestesias,anestesias generales y regionales,2013-01-01,1,1,2
GUANAY,cirugias y anestesias,anestesias generales y regionales,2013-01-01,0,1,1
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2013-01-01,17,100,117
HUANUNI,cirugias y anestesias,anestesias generales y regionales,2013-01-01,4,14,18
HUARACAJE,cirugias y anestesias,anestesias generales y regionales,2013-01-01,0,2,2
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2013-01-01,1486,2091,3577
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2013-01-01,13,30,43
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2013-01-01,0,12,12
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2013-01-01,5,11,16
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2013-01-01,24,57,81
MONTERO,cirugias y anestesias,anestesias generales y regionales,2013-01-01,51,154,205
ORURO,cirugias y anestesias,anestesias generales y regionales,2013-01-01,264,622,886
PADILLA,cirugias y anestesias,anestesias generales y regionales,2013-01-01,7,26,33
PAILON,cirugias y anestesias,anestesias generales y regionales,2013-01-01,0,14,14
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2013-01-01,5,12,17
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2013-01-01,10,32,42
POTOSI,cirugias y anestesias,anestesias generales y regionales,2013-01-01,353,574,927
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2013-01-01,17,44,61
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2013-01-01,3,54,57
PUNATA,cirugias y anestesias,anestesias generales y regionales,2013-01-01,21,40,61
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2013-01-01,25,120,145
REYES,cirugias y anestesias,anestesias generales y regionales,2013-01-01,2,7,9
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2013-01-01,50,183,233
ROBORE,cirugias y anestesias,anestesias generales y regionales,2013-01-01,0,2,2
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2013-01-01,1,18,19
