,group,variable,month,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,0,3,3
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,3,11,14
ANZALDO,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,10,9,19
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,2,12,14
BAURES,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,0,4,4
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,8,48,56
BETANZOS,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,0,2,2
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,18,22,40
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,25,67,92
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,4,16,20
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,4,11,15
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,0,9,9
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2013-01-01,0,9,9
CLIZA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,0,5,5
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,32,72,104
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,1534,2325,3859
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,45,31,76
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,0,7,7
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,1,12,13
COROICO,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,2,9,11
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,0,3,3
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,464,738,1202
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,19,49,68
ENTRE RIOS TRJ,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,2,19,21
ESCOMA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,1,1,2
GUANAY,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,0,1,1
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,17,100,117
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,4,14,18
HUARACAJE,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,0,2,2
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,1443,2050,3493
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,13,30,43
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,0,12,12
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,5,11,16
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,24,43,67
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,51,154,205
ORURO,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,264,622,886
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,7,26,33
PAILON,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,0,10,10
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,5,12,17
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,10,32,42
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,135,312,447
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,17,40,57
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,3,54,57
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,21,40,61
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,25,25,50
REYES,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,2,7,9
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,50,183,233
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,0,2,2
