,group,variable,month,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,vih,no de personas con prueba rapida,2023-01-01,35,57,92
ALALAY,vih,no de personas con prueba rapida,2023-01-01,0,1,1
ALCALA,vih,no de personas con prueba rapida,2023-01-01,1,4,5
ANCORAIMES,vih,no de personas con prueba rapida,2023-01-01,1,0,1
ANZALDO,vih,no de personas con prueba rapida,2023-01-01,17,10,27
ARANI,vih,no de personas con prueba rapida,2023-01-01,3,11,14
ARBIETO,vih,no de personas con prueba rapida,2023-01-01,1,11,12
ARQUE,vih,no de personas con prueba rapida,2023-01-01,7,11,18
ASCENCION DE GUARAYOS,vih,no de personas con prueba rapida,2023-01-01,37,92,129
ATOCHA,vih,no de personas con prueba rapida,2023-01-01,1,7,8
AYATA,vih,no de personas con prueba rapida,2023-01-01,2,3,5
AYOPAYA (V. DE INDEPENDENCIA),vih,no de personas con prueba rapida,2023-01-01,2,9,11
AZURDUY,vih,no de personas con prueba rapida,2023-01-01,1,13,14
BATALLAS,vih,no de personas con prueba rapida,2023-01-01,5,7,12
BELLA FLOR,vih,no de personas con prueba rapida,2023-01-01,1,1,2
BERMEJO,vih,no de personas con prueba rapida,2023-01-01,23,27,50
BETANZOS,vih,no de personas con prueba rapida,2023-01-01,1,4,5
BOLIVAR,vih,no de personas con prueba rapida,2023-01-01,0,2,2
BOYUIBE,vih,no de personas con prueba rapida,2023-01-01,1,0,1
CABEZAS,vih,no de personas con prueba rapida,2023-01-01,11,17,28
"CAIZA ""D""",vih,no de personas con prueba rapida,2023-01-01,0,5,5
CALAMARCA,vih,no de personas con prueba rapida,2023-01-01,3,4,7
CAMARGO,vih,no de personas con prueba rapida,2023-01-01,19,32,51
CAMIRI,vih,no de personas con prueba rapida,2023-01-01,12,10,22
CAPINOTA,vih,no de personas con prueba rapida,2023-01-01,10,13,23
CARACOLLO,vih,no de personas con prueba rapida,2023-01-01,1,6,7
CARANAVI,vih,no de personas con prueba rapida,2023-01-01,74,58,132
CARAPARI,vih,no de personas con prueba rapida,2023-01-01,2,1,3
CARMEN RIVERO TORREZ,vih,no de personas con prueba rapida,2023-01-01,7,1,8
CHALLAPATA,vih,no de personas con prueba rapida,2023-01-01,9,26,35
CHARAGUA,vih,no de personas con prueba rapida,2023-01-01,2,3,5
CHAYANTA,vih,no de personas con prueba rapida,2023-01-01,1,1,2
CHIMORE,vih,no de personas con prueba rapida,2023-01-01,4,32,36
CHULUMANI (V. DE LA LIBERTAD),vih,no de personas con prueba rapida,2023-01-01,23,29,52
CHUMA,vih,no de personas con prueba rapida,2023-01-01,4,2,6
CKOCHAS,vih,no de personas con prueba rapida,2023-01-01,0,4,4
CLIZA,vih,no de personas con prueba rapida,2023-01-01,6,2,8
COBIJA,vih,no de personas con prueba rapida,2023-01-01,72,100,172
COCAPATA,vih,no de personas con prueba rapida,2023-01-01,1,1,2
COCHABAMBA,vih,no de personas con prueba rapida,2023-01-01,1734,2498,4232
COIPASA,vih,no de personas con prueba rapida,2023-01-01,4,2,6
COLCAPIRHUA,vih,no de personas con prueba rapida,2023-01-01,52,84,136
COLOMI,vih,no de personas con prueba rapida,2023-01-01,6,4,10
COLPA BELGICA,vih,no de personas con prueba rapida,2023-01-01,10,10,20
COLQUECHACA,vih,no de personas con prueba rapida,2023-01-01,1,2,3
COLQUENCHA,vih,no de personas con prueba rapida,2023-01-01,2,7,9
COLQUIRI,vih,no de personas con prueba rapida,2023-01-01,4,0,4
COMARAPA,vih,no de personas con prueba rapida,2023-01-01,6,16,22
CONCEPCION,vih,no de personas con prueba rapida,2023-01-01,5,3,8
COPACABANA,vih,no de personas con prueba rapida,2023-01-01,3,3,6
COROICO,vih,no de personas con prueba rapida,2023-01-01,32,32,64
CORQUE,vih,no de personas con prueba rapida,2023-01-01,1,0,1
COTAGAITA,vih,no de personas con prueba rapida,2023-01-01,3,3,6
COTOCA,vih,no de personas con prueba rapida,2023-01-01,53,85,138
CUATRO CAÑADAS,vih,no de personas con prueba rapida,2023-01-01,25,85,110
CUEVO,vih,no de personas con prueba rapida,2023-01-01,1,0,1
CULPINA,vih,no de personas con prueba rapida,2023-01-01,5,28,33
