,group,variable,month,Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,54,54
AIQUILE,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,52,52
ALALAY,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,3,3
ALCALA,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,2,2
ALTO BENI,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,11,11
ANCORAIMES,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,6,6
ANDAMARCA,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,3,3
ANTEQUERA,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,2,2
ANZALDO,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,6,6
APOLO,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,10,10
ARANI,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,23,23
ARBIETO,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,33,33
ARQUE,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,18,18
ASCENCION DE GUARAYOS,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,103,103
ATOCHA,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,7,7
AUCAPATA,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,4,4
AYATA,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,9,9
AYOPAYA (V. DE INDEPENDENCIA),vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,24,24
AZURDUY,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,11,11
BATALLAS,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,8,8
BELEN DE ANDAMARCA,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,3,3
BELLA FLOR,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,2,2
BERMEJO,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,85,85
BETANZOS,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,35,35
BOLIVAR,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,7,7
BOLPEBRA,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,3,3
BOYUIBE,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,11,11
BUENA VISTA,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,6,6
CABEZAS,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,59,59
"CAIZA ""D""",vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,12,12
CALAMARCA,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,18,18
CAMARGO,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,21,21
CAMATAQUI (C. VILLA ABECIA),vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,2,2
CAMIRI,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,142,142
CAPINOTA,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,63,63
CARACOLLO,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,18,18
CARANAVI,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,181,181
CARAPARI,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,31,31
CARIPUYO,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,9,9
CARMEN RIVERO TORREZ,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,17,17
CHALLAPATA,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,111,111
CHAQUI,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,9,9
CHARAGUA,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,86,86
CHAYANTA,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,20,20
CHIMORE,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,92,92
CHIPAYA,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,1,1
CHOQUE COTA,vih,no de mujeres embarazadas con prueba rapida,2023-01-01,0,2,2
