,group,variable,month,TOTAL 18.5 DPT 3RA DOSIS CANTIDAD,TOTAL 18.5 DPT 3RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,2,0,2,0,2
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,1,0,1,0,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,30,0,30,0,30
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,6,0,6,0,6
COTOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,7,0,7,0,7
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,30,26,30,26,56
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,1,2,1,2,3
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,2,0,2,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,1,0,1,0,1
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,2,1,2,1,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,3,0,3,0,3
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,4,0,4,0,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,12,0,12,0,12
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,1,0,1,0,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,6,0,6,0,6
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,18,1,18,1,19
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,3,0,3,0,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,16,0,16,0,16
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,9,0,9,0,9
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,16,14,16,14,30
REYES,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,5,1,5,1,6
SACABA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,5,0,5,0,5
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,3,2,3,2,5
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,8,0,8,0,8
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,2,0,2,0,2
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,0,6,0,6,6
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,1,0,1,0,1
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,68,0,68,0,68
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,1,0,1,0,1
SENA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,0,3,0,3,3
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,1,1,1,1,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,3,0,3,0,3
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,3,2,3,2,5
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,2,1,2,1,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,5,0,5,0,5
UYUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,0,1,0,1,1
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,2,0,2,0,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,5,0,5,0,5
WARNES,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,2,0,2,0,2
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-01-01,1,0,1,0,1
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,1,0,1,0,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,1,0,1,0,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,2,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,1,1,1,1,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,2,1,2,1,3
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,2,0,2,0,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,16,2,16,2,18
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,1,2,1,2,3
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,2,0,2,0,2
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,4,0,4,0,4
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,36,3,36,3,39
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,1,1,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,3,1,3,1,4
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,23,2,23,2,25
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,1,1,1,1,2
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,0,1,0,1,1
MAIRANA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,1,0,1,0,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,4,0,4,0,4
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,19,16,19,16,35
