,group,variable,month,TOTAL 18.1 SRP DOSIS ÚNICA CANTIDAD,TOTAL 18.1 SRP DOSIS ÚNICA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,0,9,0,9,9
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,28,4,28,4,32
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,23,3,23,3,26
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,32,6,32,6,38
ALALAY,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,0,3,0,3,3
ALCALA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,12,1,12,1,13
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,19,3,19,3,22
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,10,14,10,14,24
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,2,1,2,3
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,7,0,7,0,7
ANZALDO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,3,1,3,4
APOLO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,23,8,23,8,31
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,1,3,1,4
ARANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,21,0,21,0,21
ARBIETO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,5,11,5,11,16
ARQUE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,21,0,21,0,21
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,73,16,73,16,89
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,11,6,11,6,17
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,1,3,1,4
AYATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,2,6,2,6,8
AYO AYO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,10,2,10,2,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,17,17,17,17,34
AZURDUY,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,6,3,6,9
BATALLAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,21,11,21,11,32
BAURES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,9,0,9,0,9
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,1,1,1,2
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,2,1,2,3
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,0,2,0,2,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,47,36,47,36,83
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,35,14,35,14,49
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,0,2,0,2,2
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,2,0,2,0,2
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,10,4,10,4,14
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,6,14,6,14,20
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,20,50,20,50,70
CAIROMA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,10,9,10,9,19
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,6,3,6,9
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,18,1,18,1,19
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,4,2,4,2,6
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,16,6,16,6,22
CAMARGO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,18,3,18,3,21
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,2,2,2,2,4
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,55,10,55,10,65
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,28,3,28,3,31
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,8,2,8,2,10
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,28,2,28,2,30
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,67,7,67,7,74
CARANGAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,0,1,0,1,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,14,19,14,19,33
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,0,8,0,8,8
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,5,5,5,5,10
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,44,16,44,16,60
CHAQUI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,6,8,6,8,14
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,14,79,14,79,93
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,0,1,0,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,4,10,4,10,14
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,42,7,42,7,49
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,18,18,18,18,36
CHUMA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,13,4,13,4,17
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,10,3,10,3,13
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,9,4,9,4,13
CLIZA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,18,6,18,6,24
COBIJA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,114,19,114,19,133
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,4,5,4,5,9
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1383,40,1383,40,1423
COIPASA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,2,1,2,3
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,87,2,87,2,89
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,16,2,16,2,18
COLOMI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,22,22,22,22,44
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,13,11,13,11,24
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,23,36,23,36,59
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,11,2,11,2,13
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,13,16,13,16,29
COMANCHE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,0,1,0,1
COMARAPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,26,5,26,5,31
COMBAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,0,1,0,1,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,23,32,23,32,55
COPACABANA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,6,5,6,5,11
CORIPATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,19,10,19,10,29
CORO CORO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,5,1,5,1,6
COROICO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,14,6,14,6,20
CORQUE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,3,3,3,6
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,15,25,15,25,40
COTOCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,117,28,117,28,145
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,21,12,21,12,33
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,2,0,2,0,2
CUEVO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,4,1,4,5
CULPINA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,10,16,10,16,26
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,0,1,0,1
