,group,variable,month,TOTAL 18.2 ANTI AMARÍLICA CANTIDAD,TOTAL 18.2 ANTI AMARÍLICA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,9,0,9,9
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,27,7,27,7,34
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,17,2,17,2,19
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,32,6,32,6,38
ALCALA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,12,1,12,1,13
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,18,3,18,3,21
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,9,13,9,13,22
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,2,1,2,3
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,7,0,7,0,7
ANZALDO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,2,3,2,5
APOLO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,23,8,23,8,31
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,0,3,0,3
ARANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,17,1,17,1,18
ARBIETO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,7,15,7,15,22
ARQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,8,0,8,0,8
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,70,16,70,16,86
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,10,3,10,13
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,2,1,2,3
AYATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,2,6,2,6,8
AYO AYO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,7,6,7,6,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,23,16,23,16,39
AZURDUY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,4,3,4,7
BATALLAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,13,4,13,4,17
BAURES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,9,0,9,0,9
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,1,1,1,2
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,2,4,2,4,6
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,7,0,7,7
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,23,27,23,27,50
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,23,13,23,13,36
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,2,0,2,2
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,10,6,10,6,16
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,5,14,5,14,19
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,16,47,16,47,63
CAIROMA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,10,9,10,9,19
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,6,0,6,6
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,0,3,0,3
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,0,3,0,3
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,19,7,19,7,26
CAMARGO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,19,1,19,1,20
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,2,0,2,2
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,56,4,56,4,60
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,26,3,26,3,29
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,5,3,5,3,8
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,29,3,29,3,32
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,65,7,65,7,72
CARANGAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,1,0,1,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,5,17,5,17,22
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,8,0,8,8
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,5,1,5,6
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,48,15,48,15,63
CHAQUI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,6,15,6,15,21
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,9,95,9,95,104
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,4,4,4,4,8
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,40,4,40,4,44
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,0,3,0,3
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,23,19,23,19,42
CHUMA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,13,4,13,4,17
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,8,3,8,3,11
CLIZA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,17,6,17,6,23
COBIJA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,106,23,106,23,129
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,4,2,4,2,6
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1396,52,1396,52,1448
COIPASA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,2,1,2,3
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,78,1,78,1,79
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,11,4,11,4,15
COLOMI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,9,23,9,23,32
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,9,3,9,12
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,21,25,21,25,46
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,7,2,7,2,9
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,22,3,22,25
COMANCHE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,4,0,4,0,4
COMARAPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,25,5,25,5,30
COMBAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,1,0,1,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,23,29,23,29,52
COPACABANA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,2,1,2,3
CORIPATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,19,10,19,10,29
CORO CORO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,5,1,5,1,6
COROICO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,8,11,8,11,19
CORQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,3,1,3,4
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,9,19,9,19,28
COTOCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,119,22,119,22,141
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,24,12,24,12,36
CUEVO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,4,1,4,5
CULPINA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,7,9,7,9,16
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,0,1,0,1
CURVA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,2,1,2,3
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,9,3,9,12
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1482,353,1482,353,1835
EL CHORO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,7,0,7,0,7
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,20,0,20,0,20
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,2,16,2,16,18
