,group,variable,month,TOTAL 18.7 ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,TOTAL 18.7 ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,11,0,11,0,11
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,3,0,3,0,3
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
ALALAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,2,0,2,0,2
ARQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,4,0,4,0,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,2,2,2,2,4
AYATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,11,0,11,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,10,2,10,2,12
AZURDUY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,4,0,4,4
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,4,2,4,2,6
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,2,1,2,3
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,2,0,2,0,2
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,3,0,3,3
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,13,0,13,0,13
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,3,0,3,0,3
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,41,0,41,0,41
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,2,1,2,1,3
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,1,0,1,1
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,2,2,2,2,4
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,2,4,2,4,6
CHUMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,3,0,3,0,3
COBIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,5,0,5,0,5
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,304,0,304,0,304
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,4,1,4,1,5
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,2,0,2,0,2
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,8,5,8,5,13
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,2,0,2,2
COMBAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,6,0,6,6
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,3,0,3,3
CORO CORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,2,0,2,0,2
COROICO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
CORQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,1,0,1,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,8,0,8,0,8
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,2,0,2,0,2
CUEVO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,3,30,3,30,33
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,59,19,59,19,78
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,2,0,2,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,1,0,1,1
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,5,0,5,5
EXALTACION,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,22,0,22,0,22
GUAQUI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,2,0,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,2,1,2,1,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,6,0,6,0,6
ICHOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,1,0,1,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,1,1,1,2
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,5,0,5,0,5
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,144,3,144,3,147
LAJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,2,0,2,2
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,1,0,1,1
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,7,0,7,0,7
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,33,1,33,1,34
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,2,0,2,2
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,33,0,33,0,33
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,19,5,19,5,24
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,1,0,1,1
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,6,0,6,0,6
PAZÑA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,2,0,2,0,2
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,2,3,2,3,5
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,6,0,6,0,6
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,3,0,3,3
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,2,0,2,0,2
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,2,0,2,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,17,7,17,7,24
