,group,variable,month,TOTAL 18.3 DPT 1RA DOSIS CANTIDAD,TOTAL 18.3 DPT 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,11,0,11,0,11
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,3,0,3,0,3
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,1,0,1,0,1
ALALAY,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,1,0,1,0,1
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,2,0,2,0,2
ARQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,3,0,3,0,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,2,2,2,2,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,10,2,10,2,12
AZURDUY,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,2,2,2,2,4
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,1,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,4,2,4,2,6
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,1,2,1,2,3
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,2,0,2,0,2
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,0,3,0,3,3
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,20,0,20,0,20
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,3,0,3,0,3
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,2,1,2,1,3
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,0,1,0,1,1
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,2,2,2,2,4
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,2,4,2,4,6
COBIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,5,0,5,0,5
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,215,0,215,0,215
COLOMI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,4,1,4,1,5
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,8,5,8,5,13
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,0,2,0,2,2
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,0,3,0,3,3
CORO CORO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,2,0,2,0,2
COROICO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,1,0,1,0,1
CORQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,2,0,2,0,2
CUEVO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,3,30,3,30,33
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,77,53,77,53,130
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,3,0,3,0,3
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,0,1,0,1,1
EXALTACION,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,1,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,16,0,16,0,16
GUAQUI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,2,0,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,1,0,1,0,1
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,2,1,2,1,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,6,0,6,0,6
ICHOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,1,1,1,1,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,1,1,1,1,2
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,5,0,5,0,5
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,132,3,132,3,135
LAJA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,0,2,0,2,2
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,1,0,1,0,1
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,0,1,0,1,1
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,1,1,1,1,2
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,7,0,7,0,7
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,33,1,33,1,34
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,0,2,0,2,2
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,27,0,27,0,27
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,1,0,1,0,1
PAILON,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,19,5,19,5,24
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,0,1,0,1,1
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,6,0,6,0,6
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,2,0,2,0,2
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,2,3,2,3,5
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,2,0,2,0,2
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,0,3,0,3,3
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,2,0,2,0,2
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,0,2,0,2,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,24,7,24,7,31
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,60,1,60,1,61
ROBORE,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,6,1,6,1,7
SACABA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,31,1,31,1,32
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,2,0,2,0,2
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,2,0,2,0,2
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,3,1,3,1,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,7,0,7,0,7
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,5,0,5,0,5
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,7,0,7,0,7
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,3,0,3,0,3
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,170,2,170,2,172
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,1,0,1,0,1
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      dpt 1ra dosis,2014-01-01,1,0,1,0,1
