,group,variable,month,TOTAL 18.4 DPT 2DA DOSIS CANTIDAD,TOTAL 18.4 DPT 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,0,1,0,1,1
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,1,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,2,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,1,2,1,2,3
CLIZA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,12,0,12,0,12
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,3,0,3,0,3
COTOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,20,11,20,11,31
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,2,0,2,0,2
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,1,0,1,0,1
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,0,1,0,1,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,0,2,0,2,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,2,1,2,1,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,3,0,3,0,3
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,17,0,17,0,17
PAILON,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,0,1,0,1,1
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,6,0,6,0,6
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,2,13,2,13,15
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,6,3,6,3,9
SACABA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,3,0,3,0,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,1,3,1,3,4
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,0,5,0,5,5
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,0,2,0,2,2
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,37,0,37,0,37
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,1,0,1,0,1
SENA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,0,2,0,2,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,1,0,1,0,1
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,1,0,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,5,0,5,0,5
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,8,0,8,0,8
WARNES,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,1,0,1,0,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-01-01,1,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,4,0,4,0,4
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,0,1,0,1,1
ARANI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,1,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,3,6,3,6,9
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,0,6,0,6,6
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,1,1,1,1,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,12,5,12,5,17
COLOMI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,1,1,1,1,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,21,5,21,5,26
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,0,1,0,1,1
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,0,2,0,2,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,1,0,1,0,1
ICLA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,1,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,14,17,14,17,31
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,2,0,2,0,2
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,10,6,10,6,16
PAILON,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,0,6,0,6,6
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,5,2,5,2,7
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,4,0,4,0,4
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,0,18,0,18,18
SACABA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,4,1,4,1,5
SACACA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,0,1,0,1,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,0,1,0,1,1
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,0,2,0,2,2
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,35,1,35,1,36
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,1,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,2,0,2,0,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,5,1,5,1,6
UYUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,2,0,2,0,2
