,group,variable,month,TOTAL 18.6 DPT 4TA DOSIS CANTIDAD,TOTAL 18.6 DPT 4TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,8,6,8,6,14
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,16,23,16,23,39
ALALAY,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,1,1,1,2
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,4,0,4,0,4
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,0,1,0,1
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,2,0,2,0,2
ARANI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,6,1,6,1,7
ARBIETO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,6,5,6,5,11
ARQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,5,2,5,2,7
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,34,26,34,26,60
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,4,1,4,1,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,6,3,6,3,9
AZURDUY,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,2,5,2,5,7
BATALLAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,2,0,2,0,2
BAURES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,5,0,5,0,5
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,0,2,0,2,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,29,4,29,4,33
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,19,3,19,3,22
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,0,1,0,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,3,0,3,0,3
CAIROMA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,3,1,3,1,4
CAMARGO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,19,5,19,5,24
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,5,0,5,0,5
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,17,0,17,0,17
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,31,0,31,0,31
CARAPARI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,23,0,23,0,23
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,3,0,3,0,3
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,4,0,4,0,4
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,15,5,15,5,20
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,2,1,2,1,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,16,7,16,7,23
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,4,0,4,0,4
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,6,1,6,1,7
CLIZA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,20,11,20,11,31
COBIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,54,1,54,1,55
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,2,10,2,10,12
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,423,39,423,39,462
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,42,2,42,2,44
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,7,1,7,1,8
COLOMI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,16,3,16,3,19
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,0,1,0,1,1
COMARAPA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,14,4,14,4,18
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,1,1,1,2
COPACABANA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,4,1,4,1,5
COROICO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,3,8,3,8,11
CORQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,4,0,4,0,4
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,4,4,4,4,8
COTOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,2,0,2,0,2
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,24,1,24,1,25
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,0,1,0,1
CULPINA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,1,1,1,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,373,38,373,38,411
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,9,0,9,0,9
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,7,1,7,1,8
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,69,14,69,14,83
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,3,2,3,2,5
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,19,8,19,8,27
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,29,1,29,1,30
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,9,3,9,3,12
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,3,4,3,4,7
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,53,0,53,0,53
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,7,1,7,1,8
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,1,1,1,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,13,0,13,0,13
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,6,0,6,0,6
HUARINA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,2,1,2,1,3
ICLA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,1,1,1,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,0,3,0,3,3
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,0,3,0,3,3
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,5,1,5,1,6
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,26,0,26,0,26
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,312,4,312,4,316
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,3,6,3,6,9
LAJA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,0,1,0,1
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,0,1,0,1
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,3,1,3,1,4
LORETO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,0,1,0,1
MACHARETI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,3,2,3,2,5
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,9,1,9,1,10
MAIRANA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,4,0,4,0,4
MINEROS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,29,1,29,1,30
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,24,8,24,8,32
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,0,1,0,1,1
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,29,5,29,5,34
