,group,variable,month,TOTAL 18.8 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTAL 18.8 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,9,4,9,4,13
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,0,1,0,1,1
AZURDUY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,2,2,2,2,4
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,1,2,1,2,3
CLIZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,17,0,17,0,17
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,5,0,5,0,5
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,2,0,2,0,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,20,10,20,10,30
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,2,0,2,0,2
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,0,1,0,1,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,0,2,0,2,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,2,1,2,1,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,15,0,15,0,15
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,11,0,11,0,11
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,0,1,0,1,1
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,5,0,5,0,5
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,1,13,1,13,14
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,3,0,3,0,3
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,3,0,3,0,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,1,3,1,3,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,0,5,0,5,5
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,0,2,0,2,2
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,42,1,42,1,43
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
SENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,0,2,0,2,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,5,0,5,0,5
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,4,0,4,0,4
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-01-01,1,0,1,0,1
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,0,1,0,1,1
ARANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,1,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,3,6,3,6,9
CAIROMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,2,11,2,11,13
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,2,0,2,0,2
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,1,2,1,2,3
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,0,1,0,1,1
CHUMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,5,0,5,0,5
COBIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,1,1,1,1,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,70,5,70,5,75
COLOMI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,1,1,1,1,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,22,4,22,4,26
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,0,1,0,1,1
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,0,2,0,2,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,1,0,1,0,1
ICLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,1,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,7,17,7,17,24
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,2,0,2,0,2
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,10,4,10,4,14
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,0,6,0,6,6
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,5,3,5,3,8
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,4,0,4,0,4
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,0,18,0,18,18
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,2,1,2,1,3
SACACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,0,1,0,1,1
