,group,variable,month,TOTAL 18.9 ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,TOTAL 18.9 ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,2,0,2,0,2
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,1,0,1,0,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,29,0,29,0,29
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,4,0,4,0,4
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,7,0,7,0,7
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,31,26,31,26,57
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,1,2,1,2,3
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,2,0,2,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,1,0,1,0,1
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,2,1,2,1,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,3,0,3,0,3
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,4,0,4,0,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,26,0,26,0,26
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,1,0,1,0,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,6,0,6,0,6
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,20,1,20,1,21
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,3,0,3,0,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,14,0,14,0,14
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,9,0,9,0,9
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,9,13,9,13,22
REYES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,8,1,8,1,9
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,5,0,5,0,5
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,3,2,3,2,5
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,4,1,4,1,5
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,8,0,8,0,8
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,2,0,2,0,2
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,0,6,0,6,6
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,1,0,1,0,1
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,107,6,107,6,113
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,1,0,1,0,1
SENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,0,3,0,3,3
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,1,1,1,1,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,3,0,3,0,3
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,3,2,3,2,5
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,2,1,2,1,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,5,0,5,0,5
UYUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,0,1,0,1,1
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,2,0,2,0,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,3,0,3,0,3
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,4,0,4,0,4
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,2,0,2,0,2
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-01-01,2,0,2,0,2
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,2,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,1,1,1,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,2,1,2,1,3
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,2,0,2,0,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,17,2,17,2,19
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,2,1,2,3
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,2,0,2,0,2
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,4,0,4,0,4
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,37,2,37,2,39
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,1,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,3,1,3,1,4
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,17,2,17,2,19
