,group,variable,month,TOTAL Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTAL Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,66,66
AIQUILE,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,44,44
ALCALA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,11,11
ANDAMARCA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,4,4
ARANI,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,20,20
ARBIETO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,27,27
ASCENCION DE GUARAYOS,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,142,142
ATOCHA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,10,10
AYOPAYA (V. DE INDEPENDENCIA),vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,18,18
AZURDUY,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,9,9
BELEN DE ANDAMARCA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,1,1
BELEN DE URMIRI,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,4,4
BELLA FLOR,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,7,7
BETANZOS,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,41,41
BOLPEBRA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,1,1
BOYUIBE,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,11,11
BUENA VISTA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,6,6
CABEZAS,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,47,47
"CAIZA ""D""",vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,3,3
CAMARGO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,39,39
CAMATAQUI (C. VILLA ABECIA),vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,4,4
CAMIRI,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,157,157
CAPINOTA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,74,74
CARACOLLO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,44,44
CARAPARI,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,40,40
CARMEN RIVERO TORREZ,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,17,17
CHALLAPATA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,145,145
CHAQUI,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,5,5
CHARAGUA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,77,77
CHIMORE,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,21,21
CHIPAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,3,3
CHULUMANI (V. DE LA LIBERTAD),vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,61,61
CHUMA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,6,6
CHUQUIHUTA AYLLU JUCUMANI,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,18,18
CKOCHAS,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,5,5
CLIZA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,100,100
COBIJA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,196,196
COCAPATA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,1,1
COCHABAMBA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,674,674
COLCAPIRHUA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,127,127
COLPA BELGICA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,17,17
COMARAPA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,43,43
CONCEPCION,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,56,56
CORIPATA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,24,24
