,group,variable,month,TOTAL Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTAL Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,vih,total no de personas con prueba rapida,2015-01-01,7,14,21
AIQUILE,vih,total no de personas con prueba rapida,2015-01-01,2,15,17
ALCALA,vih,total no de personas con prueba rapida,2015-01-01,0,11,11
ANDAMARCA,vih,total no de personas con prueba rapida,2015-01-01,2,2,4
ARANI,vih,total no de personas con prueba rapida,2015-01-01,0,2,2
ARBIETO,vih,total no de personas con prueba rapida,2015-01-01,0,4,4
ASCENCION DE GUARAYOS,vih,total no de personas con prueba rapida,2015-01-01,29,64,93
AYOPAYA (V. DE INDEPENDENCIA),vih,total no de personas con prueba rapida,2015-01-01,2,2,4
AZURDUY,vih,total no de personas con prueba rapida,2015-01-01,11,6,17
BELEN DE URMIRI,vih,total no de personas con prueba rapida,2015-01-01,0,1,1
BOLPEBRA,vih,total no de personas con prueba rapida,2015-01-01,0,1,1
BOYUIBE,vih,total no de personas con prueba rapida,2015-01-01,2,0,2
CABEZAS,vih,total no de personas con prueba rapida,2015-01-01,3,18,21
CAMARGO,vih,total no de personas con prueba rapida,2015-01-01,8,37,45
CAMATAQUI (C. VILLA ABECIA),vih,total no de personas con prueba rapida,2015-01-01,0,1,1
CAMIRI,vih,total no de personas con prueba rapida,2015-01-01,5,14,19
CAPINOTA,vih,total no de personas con prueba rapida,2015-01-01,2,9,11
CARACOLLO,vih,total no de personas con prueba rapida,2015-01-01,4,4,8
CARANAVI,vih,total no de personas con prueba rapida,2015-01-01,1,0,1
CARAPARI,vih,total no de personas con prueba rapida,2015-01-01,0,3,3
CARMEN RIVERO TORREZ,vih,total no de personas con prueba rapida,2015-01-01,27,13,40
CHARAGUA,vih,total no de personas con prueba rapida,2015-01-01,4,0,4
CHIMORE,vih,total no de personas con prueba rapida,2015-01-01,8,6,14
CHULUMANI (V. DE LA LIBERTAD),vih,total no de personas con prueba rapida,2015-01-01,12,9,21
CHUMA,vih,total no de personas con prueba rapida,2015-01-01,6,4,10
CLIZA,vih,total no de personas con prueba rapida,2015-01-01,3,11,14
COBIJA,vih,total no de personas con prueba rapida,2015-01-01,21,15,36
COCHABAMBA,vih,total no de personas con prueba rapida,2015-01-01,91,165,256
COLCAPIRHUA,vih,total no de personas con prueba rapida,2015-01-01,5,24,29
COLQUIRI,vih,total no de personas con prueba rapida,2015-01-01,2,1,3
COMARAPA,vih,total no de personas con prueba rapida,2015-01-01,2,4,6
CONCEPCION,vih,total no de personas con prueba rapida,2015-01-01,0,5,5
CORIPATA,vih,total no de personas con prueba rapida,2015-01-01,8,0,8
CORO CORO,vih,total no de personas con prueba rapida,2015-01-01,3,4,7
COROICO,vih,total no de personas con prueba rapida,2015-01-01,4,1,5
CORQUE,vih,total no de personas con prueba rapida,2015-01-01,28,32,60
COTOCA,vih,total no de personas con prueba rapida,2015-01-01,2,3,5
CULPINA,vih,total no de personas con prueba rapida,2015-01-01,0,14,14
DESAGUADERO,vih,total no de personas con prueba rapida,2015-01-01,2,8,10
EL ALTO,vih,total no de personas con prueba rapida,2015-01-01,342,480,822
EL PUENTE(STC),vih,total no de personas con prueba rapida,2015-01-01,13,20,33
EL TORNO,vih,total no de personas con prueba rapida,2015-01-01,177,177,354
ENTRE RIOS TRJ,vih,total no de personas con prueba rapida,2015-01-01,3,6,9
ENTRE RIOS CBBA,vih,total no de personas con prueba rapida,2015-01-01,6,27,33
ESCOMA,vih,total no de personas con prueba rapida,2015-01-01,2,0,2
EUREKA (SANTOS MERCADO),vih,total no de personas con prueba rapida,2015-01-01,5,7,12
FILADELFIA,vih,total no de personas con prueba rapida,2015-01-01,2,5,7
GENERAL SAAVEDRA,vih,total no de personas con prueba rapida,2015-01-01,2,58,60
GUAQUI,vih,total no de personas con prueba rapida,2015-01-01,3,3,6
GUAYARAMERIN,vih,total no de personas con prueba rapida,2015-01-01,58,97,155
GUTIERREZ,vih,total no de personas con prueba rapida,2015-01-01,1,1,2
HUANUNI,vih,total no de personas con prueba rapida,2015-01-01,5,5,10
INCAHUASI,vih,total no de personas con prueba rapida,2015-01-01,0,4,4
